14625938
/m/03gr2r_
/m/03gr2r_
Jack Vance

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 5
across 1
adventure 1
after 1
an 1
and 3
argument 1
as 2
aunt 1
came 1
capricious 1
captain 1
career 1
castaway 1
clients 1
clinic 1
dame 2
dreams 1
eccentric 1
economics 1
enables 1
exotic 1
family 1
find 1
finds 2
flamboyant 1
follow 1
for 1
found 1
freighter 1
further 1
gaean 1
greataunt 1
he 1
her 1
hester 2
him 1
himself 1
his 3
home 1
however 1
in 1
intended 1
into 1
is 2
journey 1
lands 1
long 1
lost 1
myron 4
no 1
nominal 1
obtains 1
of 3
on 3
planet 1
position 1
possession 1
reach 2
remote 1
reputed 1
resources 1
respectable 1
restore 1
return 1
serving 1
she 1
soon 1
space 1
staid 1
suddenly 1
supercargo 1
suppressed 1
that 1
the 2
to 7
tramp 1
travel 1
wealthy 2
when 1
which 1
with 1
within 1
yacht 1
youth 1
