4546935
/m/0c87d3
/m/0c87d3
Stanisław Lem
1955
{"/m/06n90": "Science Fiction"}
227 1
a 4
aboard 1
accidentally 1
active 1
advanced 1
after 1
all 1
allies 1
almost 1
alpha 2
an 2
and 5
another 1
artificial 1
at 1
atlants 1
attempt 1
be 2
biological 1
by 1
called 1
carrying 1
centauri 4
century 1
civilization 1
cold 1
colonized 1
communistic 1
during 1
earth 2
eight 1
era 1
expedition 1
find 1
first 1
for 1
future 1
gaia 1
got 1
had 1
has 1
human 1
humanity 1
in 3
inhabited 1
interstellar 1
is 2
its 2
leave 1
left 1
life 1
lifeless 1
lost 1
making 1
meets 1
men 1
nato 1
novel 1
now 1
nuclear 1
of 6
old 1
on 2
one 1
orbit 1
orbiting 2
organic 1
originating 1
out 1
planet 2
planets 1
possibly 1
proxima 1
satellite 1
set 1
ship 1
signs 1
solar 1
space 1
still 1
system 3
the 10
they 1
thirtysecond 1
to 2
travel 2
turns 2
usa 1
utopian 1
vessel 1
war 2
warheads 1
weapons 1
which 2
within 1
women 1
years 1
