3452658
/m/09d7c3
/m/09d7c3
Ned Vizzini

a 5
about 1
after 1
and 2
any 1
at 1
back 1
be 1
brain 1
bullies 1
but 1
by 1
can 1
cant 1
chill 1
communicate 1
computer 1
directly 1
elite 1
first 1
form 1
frequently 1
from 3
get 1
girls 1
hearing 1
heere 1
high 1
in 2
ingestedjeremy 1
is 3
jeremy 2
klutzy 1
loser 2
member 1
more 1
of 3
once 1
payless 1
person 1
perspective 1
pill 2
popular 1
purchases 1
quantum 1
rich 2
school 1
shoes 1
shortstatured 1
social 1
squipa 1
store 1
student 1
teen 1
teenage 1
that 1
the 6
to 1
tormented 1
transforms 1
usually 1
wellbuilt 1
who 1
with 2
written 1
your 1
