1421363
/m/05058l
/m/05058l
Steven Pinker
2002
a 12
abilities 1
ability 2
about 1
actor 2
actually 1
also 4
altruism 1
an 2
and 22
apart 1
are 5
argued 1
argues 4
argument 1
arguments 1
as 5
aspect 1
assumed 4
assumption 1
be 9
become 1
behavior 2
behaviors 2
being 1
belief 1
between 1
biology 1
blame 2
blank 7
book 1
born 1
brain 2
built 1
but 2
by 6
can 2
cause 2
caused 3
challenged 1
children 1
choices 1
city 1
claims 2
commit 1
completely 1
complexes 1
conditioned 1
consequences 1
considerations 1
constitute 1
construction 1
controlling 1
corrupted 1
could 1
counteract 1
create 2
crimes 1
cultural 1
culturally 1
dangerous 2
dedicated 1
degradation 1
deserving 1
desperate 1
determinism 1
different 1
discoveries 1
distinction 1
do 3
does 1
doesnt 3
dogmas 1
dominant 1
done 1
dreary 1
dualism 1
due 1
dwellers 1
each 1
economics 1
empirical 1
empiricism 1
engineering 1
enjoy 1
entire 1
entirely 1
environment 2
environmental 1
environmentally 1
equal 2
equality 1
even 1
every 1
everyone 2
evils 1
evolutionary 4
examining 1
example 1
examples 2
excessive 1
explanations 1
exploitation 1
fact 1
fairness 1
fault 1
fear 4
fears 2
finally 1
fit 1
for 4
formed 1
free 2
from 2
further 2
future 1
gained 1
genetic 1
ghost 1
give 1
gives 1
goals 1
good 1
greater 2
greed 1
grounding 1
groups 2
guilt 1
hand 1
harm 1
has 4
have 6
he 3
help 1
highly 1
his 1
housing 1
human 6
if 6
imperfectibility 1
in 10
inappropriate 1
include 1
includes 1
inconsistent 1
individuals 2
inequalities 1
inequality 3
innate 3
intellectual 1
intellectuals 1
is 11
it 5
itself 2
khmer 1
kulaks 1
laissezfaire 1
left 1
less 2
life 2
linked 1
living 1
low 1
machine 1
makes 1
many 2
mass 1
massive 1
material 1
may 3
mdash 3
meaning 1
mechanisms 1
mind 3
mindbody 1
minds 1
modern 1
moral 2
motives 2
much 1
murder 1
must 2
naturally 1
nature 4
necessarily 1
necessary 1
need 1
new 1
nihilism 1
no 2
noble 1
non 1
not 7
of 25
often 1
on 2
only 5
opens 1
opportunity 1
opposition 2
or 1
other 3
out 1
overturned 1
own 1
parents 2
particular 1
peasants 1
people 5
perceived 1
perfect 1
persecution 1
pinker 4
policies 4
political 2
poor 2
possibility 1
praise 1
preferences 1
primary 1
process 1
progress 1
proposals 1
psychologically 1
psychology 2
psychopaths 1
public 1
purpose 1
purposes 1
quickly 1
raising 1
rather 1
rational 2
reciprocal 1
redistribution 1
reduced 1
reducing 1
regarding 1
release 1
require 4
respond 1
responsibility 1
revolution 1
rich 1
rights 1
rightwing 1
romanticism 1
rouge 1
ruthlessly 1
sameness 1
savage 1
science 1
selfish 1
sense 1
sequiturs 1
servitude 1
several 1
shaped 1
since 3
slate 7
social 3
society 2
some 1
soul 1
soviet 1
standards 1
status 1
stressful 1
successful 3
such 1
suggest 1
suggesting 1
suggests 1
superficial 1
support 3
supporting 1
taken 1
teachers 1
tenement 1
than 1
that 23
the 35
their 2
them 2
then 2
theory 1
there 1
these 1
this 4
those 1
threat 1
three 1
through 1
to 16
totalitarian 1
totally 1
traits 1
treat 1
true 1
turn 1
uncaused 1
under 1
undeserving 1
unfairly 2
union 1
upon 1
us 1
used 1
values 1
view 3
was 1
welfare 1
well 1
were 1
what 1
while 2
who 3
will 1
with 4
would 1
writes 1
