17288561
/m/043jz_z
/m/043jz_z
Neil Gaiman

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 10
after 1
aids 1
an 1
and 11
animals 1
are 1
as 1
asgard 3
bear 2
been 1
bigger 1
but 1
by 1
cannot 1
cast 1
causing 1
children 1
completely 1
convincing 1
deciding 1
drags 1
drowned 1
during 1
eagle 1
endless 1
ends 1
eventually 1
fat 1
father 1
favour 1
for 1
forest 1
fox 1
freya 1
frost 1
giant 2
gives 1
giving 1
goddess 1
gods 3
granting 1
hammer 1
have 1
he 6
heals 1
help 1
him 6
his 6
home 1
in 4
into 1
is 1
it 1
its 1
lame 1
latter 1
leads 1
learns 1
leaves 1
left 1
leg 1
loki 2
long 1
marries 1
meets 1
mend 1
midgard 1
mimir 1
mother 2
neglects 1
normal 1
norseman 1
not 1
odd 4
odin 2
of 3
on 1
out 1
outwits 1
over 1
own 1
parents 1
paw 1
raid 1
receives 1
return 2
returns 1
reunites 1
rule 1
scottish 1
she 1
somewhat 1
soon 1
speaks 1
staff 1
stranded 1
than 1
that 1
the 11
their 1
them 1
there 2
these 1
thor 3
though 1
to 5
transformed 1
trapped 1
travels 1
tree 1
tricked 1
unnaturally 1
viking 1
village 1
vision 1
well 1
when 2
who 2
whose 1
widower 1
winter 3
wisdom 1
with 4
woodcutter 1
young 1
youth 1
