12008961
/m/02vlt57
/m/02vlt57
Scott Ciencin
2001-06-12
a 12
about 2
accident 1
actually 1
after 3
aggressive 1
alan 1
all 1
almost 1
also 3
although 2
amanda 1
an 1
and 18
ankylosaurus 2
appear 2
appearance 1
are 4
area 1
around 1
as 4
ask 1
attracted 1
b 1
back 1
balanced 1
battle 1
before 1
befriended 1
befriends 1
being 3
ben 4
between 1
book 4
boyfriend 1
buildings 1
bunker 1
by 5
can 1
captive 1
caught 1
chance 1
character 1
ciencin 1
claw 1
communications 1
compsognathus 1
compys 1
costa 1
crash 1
creation 1
decides 2
deinonychuslike 1
described 1
despite 1
did 1
died 1
dies 1
dinosaur 3
dinosaurs 4
diplodocus 1
dna 1
driven 1
due 1
during 1
easily 1
eaten 1
end 1
ends 1
eric 8
even 1
eventually 2
example 1
fearsome 1
film 1
find 1
finds 1
flying 1
for 3
forced 1
from 1
furious 1
get 1
got 1
grant 1
had 3
has 2
have 1
he 10
headquarters 1
help 2
her 1
herbivores 2
herd 1
herds 1
hide 1
hildebrand 1
him 1
himself 1
his 2
how 1
however 1
huge 1
hunt 1
iggy 1
iguanodon 2
iguanodons 2
iii 1
in 11
including 1
ingen 3
injured 2
injury 1
instead 1
interesting 1
internal 1
introduced 1
introduction 1
is 9
isla 1
island 4
it 4
its 2
jungle 1
jurassic 4
keeping 1
killed 1
kirby 1
knowing 1
large 1
last 1
later 1
leave 1
legendary 1
life 1
likely 2
main 1
matching 1
messing 1
middle 1
moment 1
more 1
most 2
mother 1
movie 3
names 1
new 1
not 3
of 11
off 1
old 1
on 6
one 1
original 1
pack 2
parasailing 1
park 4
pee 2
perhaps 1
place 1
planned 1
population 1
predators 1
present 1
previously 1
prisoners 1
pteranodon 4
pteranodons 1
quetzals 1
raptor 1
raptors 3
reason 1
rest 1
result 1
returns 1
revealed 3
reveals 2
rica 1
roaming 1
sacrifices 1
sail 1
saving 1
scientists 1
scott 1
seems 1
shows 1
site 1
sloths 1
snakes 1
so 1
some 2
sorna 1
spend 1
spinosaurus 1
start 1
stated 1
stranded 1
suggests 1
survive 1
survived 1
survivor 1
take 1
teeth 1
that 11
the 32
them 2
there 1
they 1
things 1
this 2
though 1
thought 1
to 12
trapped 1
travel 1
trex 1
triceratops 1
tyrannosaurus 3
unfortunately 2
up 3
used 1
valley 1
velociraptor 1
velociraptors 1
were 1
when 2
wildlife 1
will 1
with 3
wits 1
young 1
