747822
/m/037_mv
/m/037_mv
Colson Whitehead
1999-01
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 1
an 1
and 3
around 1
as 1
before 1
begins 1
black 1
both 2
box 1
cast 1
catastrophic 1
central 1
city 1
cope 1
corporate 1
course 1
days 1
deliver 1
discovers 1
elements 1
elevator 3
establishment 1
failure 1
founder 2
future 1
had 1
happening 1
her 3
herself 1
idea 1
in 1
inspected 1
inspectorate 1
intellectual 1
intuitionism 1
intuitionist 1
is 1
just 1
known 1
leading 1
looming 1
lost 1
must 1
of 8
other 1
people 1
perfect 1
reconstruct 1
return 1
roots 1
school 2
search 1
she 2
story 1
suspicion 1
texts 1
that 1
the 16
to 6
try 1
upon 1
watson 1
what 1
which 2
whole 1
will 1
with 2
