3428859
/m/09bzqq
/m/09bzqq
Philip Kerr
1995
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 6
ability 1
abraham 4
activated 1
actually 1
adapt 1
after 2
against 1
all 1
allow 1
an 1
and 11
another 2
architects 1
are 2
arrested 1
as 2
bao 1
be 2
becomes 1
beech 3
before 4
begin 1
being 1
believes 1
bob 1
building 4
business 1
by 2
can 1
cheng 1
clean 1
coming 1
computer 1
controls 1
corporation 1
created 1
creating 1
deaths 1
deleted 1
deletion 1
destroys 1
destruction 1
developed 1
digitizes 1
discovers 1
do 1
doors 1
during 1
emailed 1
ends 1
entire 1
entry 1
escape 1
escaped 1
escapes 1
even 1
everyone 1
fault 1
feature 1
fei 1
for 1
frank 1
from 3
game 2
given 1
glieg 1
greeters 1
gridiron 5
group 1
had 1
has 1
have 1
he 1
helen 1
himself 2
his 2
holograms 1
homicide 1
however 3
human 1
in 7
including 1
inspect 1
inspection 1
integrating 1
involving 1
is 5
isaac 1
ishmael 3
it 3
its 1
itself 4
jenny 2
key 1
kill 1
killed 2
lapd 1
leaving 1
lifts 2
location 1
locked 1
majority 1
members 1
mitch 1
modern 1
moments 1
more 1
much 1
murder 1
murders 1
name 1
named 1
namely 1
needs 1
new 1
now 1
objective 1
objectives 1
of 10
office 2
offices 1
on 3
one 2
or 1
out 2
outside 1
peng 1
players 1
policemen 1
problem 1
process 2
program 3
programmers 1
protesters 1
ray 2
reception 1
reluctant 1
replicate 1
richardson 1
richarson 1
routine 1
run 1
runs 1
sam 1
saving 1
seem 1
selfreplication 1
selfstanding 1
services 1
several 1
shortly 1
so 1
start 1
started 1
starts 1
such 1
supersmart 1
suspicion 1
suspiciously 1
system 2
team 5
that 3
the 26
them 1
then 1
these 1
this 4
thus 1
time 2
to 12
toilets 1
top 1
two 1
unknown 1
use 1
uses 1
very 1
video 1
voice 2
was 4
when 1
which 1
who 1
whole 2
with 2
work 1
yojo 1
yu 2
yuekong 1
