587107
/m/02sskp
/m/02sskp
Jeff Brown

{"/m/0dwly": "Children's literature"}
a 4
advantage 1
altered 1
an 1
and 5
are 1
art 1
arthur 2
as 2
back 1
bed 1
being 2
best 1
bicycle 1
big 1
board 2
brother 2
bulletin 1
by 5
can 1
catch 1
changes 1
display 1
door 1
during 1
entering 1
envelope 1
even 1
eventually 1
falls 1
father 1
flat 1
flattening 1
friends 1
from 1
given 1
hangs 1
he 3
helps 1
his 6
in 2
is 2
it 1
kite 1
lambchop 1
locked 1
mailed 1
makes 1
museum 1
night 1
now 1
of 1
on 2
one 1
over 1
painting 1
pictures 1
playing 1
posing 1
posters 1
proper 1
pump 1
rooms 1
shape 1
sleep 1
sliding 1
some 1
soon 1
special 1
stanley 6
state 1
survives 1
that 1
the 7
their 1
thieves 1
to 2
under 1
used 1
visit 1
wall 3
with 2
younger 2
