23569208
/m/036vmv
/m/036vmv
Douglas Coupland
1991-03-15
10 1
a 7
additional 2
adventure 1
again 1
allowing 1
am 1
an 1
and 17
andrew 1
andy 4
andyliving 1
are 3
arranged 1
as 3
away 1
back 2
be 1
boccaccio 1
boomingturnedintodepressed 1
born 1
boss 1
boyfriend 1
brother 1
by 2
california 5
canterbury 1
chapter 1
character 1
characters 10
chaucer 1
circa 1
claire 6
communities 1
constantly 1
continues 1
county 1
course 2
cultural 1
dag 2
day 1
decameron 1
desert 1
disneyland 1
draws 1
dreaded 1
each 3
economic 1
elvissa 2
empire 1
enlarged 1
expanded 1
family 1
first 1
focus 1
for 1
frame 2
framed 1
framing 1
friend 1
friendsdag 1
from 2
generation 2
glimpses 1
global 1
group 1
heard 1
here 1
his 2
i 1
imaginedover 1
in 8
include 1
initial 1
inland 1
interest 1
into 1
introduces 1
is 11
its 1
journeys 1
la 1
like 1
locations 1
love 1
macarthur 1
main 1
market 1
members 1
mental 1
mojave 1
more 3
motivations 1
mr 1
mrs 1
muted 1
narrative 2
narrator 1
neighbour 1
neighbours 1
new 1
not 1
novel 4
numbered 1
of 10
older 1
or 1
orange 1
other 2
others 1
over 1
palm 1
part 1
parts 1
past 1
personal 3
personalities 1
picnic 1
place 1
pull 1
raised 1
rapidlygrowing 1
rather 1
reader 1
region 1
represent 1
represents 1
reveal 1
revealed 1
risk 1
section 2
separately 1
set 1
some 1
southern 1
springs 1
stories 3
storiessome 1
story 1
stuck 1
suburban 1
such 1
takes 2
tales 4
target 1
teen 1
tell 1
than 1
that 1
the 29
then 1
these 1
this 2
three 2
through 2
titled 1
titles 1
to 6
tobias 2
together 1
told 2
travel 1
travels 1
trip 1
tyler 2
type 1
various 1
visit 1
was 1
were 1
which 2
while 2
wife 1
with 1
without 1
x 1
york 1
yuppie 1
