1540273
/m/058zxf
/m/058zxf
John Wyndham
1959
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
14 2
204 1
2044 1
214 1
2144 1
50year 1
a 10
across 1
after 1
all 2
an 1
and 7
as 4
asteroids 1
at 1
attack 1
australia 1
awarded 1
away 1
bases 1
become 1
between 1
both 1
brazil 2
break 1
british 1
brooke 1
by 1
call 1
called 1
carefully 1
chapters 1
claims 1
company 1
comparison 1
consequently 1
contenders 1
cross 1
cry 1
desire 1
do 1
down 1
earlier 1
earth 1
earthbound 1
emerges 1
english 1
establish 1
events 1
eventually 3
expeditions 1
exploration 2
explorers 1
exploring 1
faint 1
family 2
far 1
feel 1
foiling 1
for 1
from 4
further 1
future 1
gnatvoices 1
going 1
great 1
hear 1
hemisphere 3
history 1
however 1
humanity 1
hundreds 1
important 1
in 9
inhabitants 1
intervals 1
into 1
is 6
it 3
jolly 1
killed 1
landings 1
language 1
later 1
left 1
main 1
major 4
many 1
mars 1
members 1
minor 1
missile 1
moon 1
most 1
name 1
northern 3
nuclear 1
of 12
on 2
only 2
orbit 1
other 1
out 1
outward 1
part 1
play 1
plays 1
portuguese 1
position 1
posthumous 1
power 2
powers 1
preparing 1
province 1
quote 1
radioactivity 1
ravaged 1
recolonise 1
rival 1
role 1
rupert 1
same 1
seeming 1
serious 1
set 1
several 1
simply 1
since 1
sky 1
solar 2
south 1
southern 1
soviet 1
space 7
star 2
start 1
station 1
stations 1
story 1
survivors 1
system 2
tells 1
that 1
the 26
themselves 1
then 2
they 2
thin 1
third 1
this 2
through 1
ticker 1
to 4
told 1
travel 1
troon 3
tutelage 1
urge 1
ussr 1
venus 1
very 1
victoria 1
virtually 1
war 3
west 1
which 2
wide 1
wipes 1
with 3
world 1
worldwide 1
years 1
