30548959
/m/0g9x_6d
/m/0g9x_6d
Mark Salter
2011-01-25
2011 1
2012 1
a 3
about 1
according 1
after 1
an 1
and 2
around 1
articulate 1
as 1
attacked 1
barack 1
be 1
begins 2
being 1
book 2
buys 1
by 3
cal 1
campaign 4
campaigners 1
can 1
cast 1
centering 1
character 1
characters 1
clearly 1
controls 1
discourse 1
distracted 1
dog 1
draft 1
early 1
effectively 1
eight 1
election 1
example 1
few 1
fictional 1
focused 1
for 3
heat 1
his 2
how 1
if 1
illustrates 1
is 2
it 1
itself 1
january 1
just 1
manager 1
merely 1
months 1
new 1
o 1
obama 1
of 2
on 1
ones 1
opponent 1
out 1
plan 1
point 1
political 1
post 1
president 4
presidential 1
press 2
pretends 1
primary 1
regan 1
review 1
season 2
second 1
small 1
staffers 1
states 1
story 1
that 2
the 17
tightly 1
to 2
united 1
up 1
washington 1
when 1
