3846721
/m/0b31h9
/m/0b31h9
Robert Silverberg
1969
205 2
532 1
a 6
about 1
after 1
also 2
an 1
ancient 1
and 7
another 1
as 3
at 1
attempt 1
attention 1
audience 1
bored 1
break 1
but 2
byzantine 1
byzantiumconstantinople 1
called 1
care 1
cause 1
clerk 1
cleverly 1
closely 1
clutches 1
colleagues 1
constantinople 1
contact 1
courier 1
course 1
creates 1
description 1
details 1
down 2
dozens 1
drawing 1
during 1
elliott 1
era 1
even 1
event 2
example 1
eye 1
faces 1
failed 1
falls 1
for 2
forced 1
forward 1
from 1
grandmother 1
greedy 1
guide 1
guides 1
harvard 1
has 1
havoc 1
he 3
his 2
history 2
hundreds 1
iii 1
in 4
include 1
includes 1
increased 1
inescapable 1
interest 1
into 1
introductory 1
irreparable 1
is 5
job 1
jud 5
justinian 1
law 1
leading 1
lest 1
likely 1
line 3
love 1
lure 1
make 1
marvelous 1
masters 1
medieval 1
meets 1
mentally 1
mount 1
multigreat 1
must 1
narrative 1
nika 1
not 2
nowtime 1
number 1
of 11
on 1
only 2
order 1
out 1
over 1
own 1
paradox 1
paradoxes 1
party 1
past 3
patch 1
patrol 2
position 1
present 1
problems 2
protagonist 1
pulcheria 1
put 1
reign 1
revisiting 1
riots 1
roman 1
rules 1
same 1
scan 1
sermon 1
service 1
shunts 1
silverberg 2
some 1
story 1
student 1
stupid 1
succumbs 1
surroundings 1
take 1
takes 1
the 27
their 1
themselves 1
they 1
things 1
thousands 1
time 6
timetour 1
timetravel 1
to 9
too 1
tour 1
tourism 1
tourists 3
transtemporal 1
travel 2
types 1
unstable 1
up 4
use 1
various 1
visiting 1
vivid 1
when 1
who 2
wish 1
with 6
without 1
witness 1
worked 1
years 1
