3433051
/m/09c574
/m/09c574
Booth Tarkington

{"/m/02xlf": "Fiction"}
20th 1
a 4
affections 1
amberson 3
ambersons 2
america 1
an 2
and 10
aristocratic 1
arrogant 1
as 3
at 1
being 1
bettuh 1
between 2
but 2
by 2
century 2
change 1
city 1
civil 1
comes 1
contrasted 1
debutante 1
decline 1
declining 1
derive 1
did 1
doing 2
dont 1
early 1
end 2
falls 1
families 1
family 3
father 3
for 1
fortunes 2
friend 1
from 1
generations 1
george 5
georges 1
grandson 1
grow 1
growing 2
grows 1
growth 1
he 1
his 3
history 1
in 4
indianapolis 1
industrial 1
industrialization 1
industry 1
into 1
is 6
isabel 1
it 1
knows 1
life 1
lives 1
long 1
love 1
lucy 2
lucys 2
minafer 1
morgan 1
morgans 1
most 1
mother 3
name 1
names 1
neighborhood 1
newmoney 1
not 1
novel 1
oblivious 1
of 12
other 1
others 1
own 1
part 1
patriarchs 1
period 1
position 1
power 1
powerful 1
prescient 1
prestige 1
prosperous 2
rahthuh 1
rapid 1
rising 1
sabotages 1
says 1
sensible 1
socioeconomic 1
spoiled 1
states 1
sure 1
terribly 1
than 1
thanks 1
the 21
there 1
things 3
think 1
though 1
three 1
thrives 1
through 1
titular 1
to 3
totally 1
town 2
trace 1
trilogy 1
turn 1
tycoons 1
unaware 1
united 1
unspecified 1
up 1
upperscale 1
wanes 1
war 1
wealth 1
when 1
which 2
widowed 1
with 2
worth 1
you 1
young 2
