123422
/m/0x26k
/m/0x26k
Pat Frank
1959
{"/m/06n90": "Science Fiction", "/m/0d6gr": "Reference", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/02xlf": "Fiction"}
1th 1
5 1
a 29
about 1
acting 1
active 3
admiral 1
advantage 1
advice 1
advises 1
afb 3
after 1
again 3
against 1
ahead 1
aid 1
aim 1
aimless 1
air 13
aircraft 4
airport 1
alas 1
albeit 1
alert 1
all 2
allied 1
allies 1
ally 1
already 2
also 4
am 1
ammunition 1
an 12
ancestor 1
and 52
announced 1
another 1
any 1
apparent 1
appear 1
appears 1
approaching 1
arctic 1
are 6
area 1
areas 1
army 2
arrived 1
arriving 2
as 12
ask 1
assault 1
at 13
atlanta 1
attack 4
attempt 1
authority 2
available 1
awakened 1
babylon 1
back 2
background 1
bank 5
banker 1
base 5
based 1
be 7
because 2
becomes 2
been 1
begun 1
being 1
belief 1
believe 1
believed 2
believes 2
belli 1
ben 1
better 1
biblical 1
blinds 1
board 1
bogie 2
bombing 1
book 1
bragg 4
bravely 1
brazil 1
brief 1
brother 1
brothers 2
brought 1
brown 1
built 1
but 4
by 8
called 1
can 1
capital 1
care 2
carrier 2
cash 1
casus 1
caused 1
cecil 1
central 3
century 1
characters 1
chief 1
children 1
closes 1
closest 1
closing 1
cloud 1
coast 2
cobb 2
code 1
colonel 1
colorado 1
come 2
comes 1
command 1
commander 1
commanding 1
commits 1
community 1
concern 1
conelrad 1
contact 1
contaminated 1
convicts 1
cost 1
countries 1
country 1
coupled 1
course 1
court 1
craters 1
culminate 1
currently 1
dabbles 1
danger 1
daniel 1
daughter 1
day 3
de 1
death 1
decision 1
decontaminated 1
deeply 1
defecting 1
defense 1
degenerate 1
denver 2
depot 1
desegregation 1
destroyed 2
destroys 1
destruction 2
devices 1
direct 1
disaster 1
disastrous 1
disc 1
discover 1
disintegration 1
do 1
down 3
downtown 2
dr 3
drifting 1
drives 2
drunkenness 1
due 1
during 3
duty 3
early 2
east 1
eastern 2
edgar 1
education 2
effect 1
effects 2
element 1
elizabeth 1
emboldens 1
employed 1
ends 2
enemy 1
engines 1
ensign 1
escape 1
euphemism 1
even 1
event 1
events 1
eventually 1
evidently 1
exchange 1
executive 1
exercise 1
expects 1
explains 2
explosion 2
express 1
f11f 1
face 1
facilities 1
facing 1
facto 1
fail 1
faith 1
fallen 1
families 1
family 4
feared 1
federal 1
feels 1
fellow 1
field 1
fifteen 1
fighter 2
fights 1
filled 1
finally 1
find 1
fires 1
flawed 1
florida 4
flying 2
following 2
followon 1
food 2
for 10
foray 1
force 10
form 1
former 1
fort 12
founded 1
franklin 1
free 1
friend 3
friends 1
from 10
general 3
get 3
gets 1
given 1
gives 1
glow 1
go 1
goes 1
good 1
goodbyes 1
goods 1
governing 1
granted 1
grow 1
guard 1
guests 1
guides 1
gunn 3
habitable 1
had 2
half 1
hart 2
has 6
have 5
hawker 3
hazzard 1
he 19
heading 2
headquarters 2
health 1
heatseeking 1
helen 2
helicopters 2
helps 1
her 3
highwaymen 1
him 2
his 10
hits 1
hole 1
home 1
homes 1
homestead 1
hostile 1
hotels 1
hours 1
house 1
housing 1
huge 1
identify 1
if 3
ill 1
immediate 1
immediately 1
impending 1
in 22
inbound 1
included 1
including 1
indefinitely 1
infantry 1
informs 3
initial 1
initially 1
instructions 2
intelligence 1
intercept 1
interceptor 1
into 3
is 22
it 2
its 2
jacksonville 4
jails 1
jet 2
jewelry 1
jockey 1
josephine 1
junior 1
killed 1
known 1
korean 1
kremlin 1
largescale 1
latakia 2
later 2
launch 2
launches 1
law 2
layover 1
learns 1
least 2
leave 1
leaves 1
leaving 1
left 2
legal 1
legislature 1
lib 1
lies 1
life 5
likely 1
lines 1
little 1
lives 3
local 6
locates 1
logan 1
looking 1
looted 1
love 1
macdill 1
make 1
man 1
manager 1
many 1
mark 13
marry 1
martial 1
may 4
mayport 1
mccoy 3
mcgovern 1
meanwhile 1
mediterranean 1
meet 2
meets 2
merchants 1
message 2
messages 1
method 1
miami 4
military 2
militias 1
minute 2
minutes 1
missile 3
missiles 2
mode 1
money 1
morning 2
moscow 2
most 2
move 1
municipal 1
murder 1
mushroom 1
named 1
narcotics 1
national 2
naval 3
navy 3
near 1
nearby 1
nearly 1
nebraska 2
necessary 1
neighbors 2
nervously 1
never 1
new 1
news 1
next 1
niece 1
night 1
no 2
none 1
north 1
not 2
nothing 1
now 3
nuclear 5
obtained 1
of 32
off 3
offer 1
office 1
officer 6
officers 2
offutt 3
old 2
older 1
omaha 4
ominous 1
on 6
once 3
one 2
oneday 1
only 2
open 1
or 3
order 1
orders 1
organizes 2
orlando 4
others 1
out 2
outside 3
over 1
overnight 1
own 1
owned 1
panicked 1
passed 1
path 1
paul 3
pee 1
people 3
perceive 1
perhaps 2
permission 1
peyton 2
pilot 1
pilots 1
plan 2
plane 2
political 2
porky 1
possible 1
posture 1
power 1
preemptive 1
preparing 1
presumably 1
prevail 1
prior 1
prisons 1
privately 1
process 1
prominent 2
protagonist 1
proved 1
provide 1
public 1
purpose 1
pursue 1
quisenberry 1
racial 1
radar 1
radiation 1
radio 2
radioactive 1
randolph 1
randy 22
reads 1
realizes 3
rear 1
receiver 1
receives 1
recipient 1
recommends 1
red 1
reference 1
refueled 1
reliable 1
report 1
reports 1
repose 12
reserve 3
residents 2
resulting 1
results 1
retired 1
retirement 1
reveals 1
right 1
risk 1
rival 1
routed 1
run 2
sac 5
salt 1
sam 1
saratoga 1
saratogas 1
say 1
says 1
scion 1
seaboard 1
search 1
secondary 1
seconds 1
secretary 1
see 1
sees 1
selfdefense 1
selling 1
sending 2
sent 1
seriously 2
serving 1
shadowed 1
shaking 1
she 1
shoot 1
short 1
shortly 1
shortwave 1
shuts 1
sickness 1
sidewinder 1
signal 1
silence 1
since 1
sisterinlaw 2
situation 1
skunks 1
small 1
so 1
society 1
some 1
somewhat 1
son 1
soon 1
south 1
southeast 1
soviet 8
soviets 1
staging 1
state 1
states 3
station 4
stations 1
stay 2
stood 1
strategic 1
strike 2
submarinelaunched 1
submarines 1
succeed 1
such 1
suffered 1
suicide 1
supplies 2
support 1
supreme 1
surviving 1
syria 2
system 1
take 2
takes 1
tampa 2
task 1
telegram 3
telegraph 1
temporarily 1
temporary 1
tertiary 1
than 1
thanks 1
that 20
the 99
their 4
them 3
themselves 1
then 2
there 1
these 1
they 5
third 1
this 2
those 1
thousand 2
threat 1
through 1
throughout 1
tiger 1
to 44
tourists 1
toward 1
town 1
transfer 1
trapped 1
tremendous 1
tries 1
turns 1
two 2
ultimately 1
under 1
unidentified 3
union 2
united 3
unsettling 1
until 1
urgent 1
us 7
use 1
useless 1
uss 1
v 1
vanbruukerbrown 1
varied 1
venezuela 1
veteran 1
via 1
walk 1
wants 1
war 6
warning 2
was 3
washington 1
water 1
weakness 1
weapons 1
weaponsrelease 1
wee 1
welfare 1
well 2
were 1
west 2
what 3
when 3
where 1
which 4
while 2
who 5
whom 3
whose 1
wife 1
will 4
wing 1
with 12
woman 1
won 1
world 3
worse 1
would 2
year 1
years 1
young 2
