7489978
/m/0263b7y
/m/0263b7y
Patricia Cornwell
1996
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 3
amongst 1
and 2
before 1
below 1
bloodiest 1
call 2
captain 1
case 1
dead 1
death 2
depths 1
did 1
diving 2
dr 1
eddings 2
elizabeth 1
eve 1
feet 1
final 1
fleet 1
for 2
found 1
frigid 1
gear 1
her 1
icy 1
in 1
inactive 1
into 1
investigative 1
leads 1
lives 1
lucy 1
marino 1
murder 1
navy 1
new 1
niece 1
notified 1
of 4
or 1
pete 1
phone 2
plot 1
police 2
probing 1
receive 1
receives 1
reporter 1
reporting 2
reserve 1
river 1
scarpetta 4
scene 1
shipyard 1
simply 1
story 1
sunken 1
surface 1
takes 1
ted 1
terrorist 1
that 1
the 10
thirty 1
thousands 1
threatens 1
trinketsmdashand 1
virginia 1
was 2
were 1
who 1
why 1
year 2
