1278612
/m/04pm13
/m/04pm13
Thea Beckman
1973
13th 1
a 6
accident 1
accusations 1
actual 1
aid 2
alive 1
also 1
an 2
and 5
arabic 1
as 1
book 1
box 1
boy 1
but 1
century 1
children 4
coming 1
crusade 1
delude 1
device 1
dolf 2
eventually 1
experiment 2
fates 1
fibonacci 1
for 2
fourteen 1
from 1
german 1
gets 1
goes 1
group 1
he 2
hefting 1
him 1
his 3
horrible 1
how 1
however 1
in 2
innocent 1
intent 1
into 1
is 4
jerusalem 1
join 1
keep 1
knowledge 3
leads 1
leonardo 1
liberate 1
life 1
lot 1
machine 1
magical 1
manages 2
matches 1
modernday 1
most 1
numerals 1
of 9
or 1
profit 1
realizing 1
rudolf 1
rudolph 1
safety 1
save 1
saves 1
sell 1
shall 1
skepticism 1
slavers 1
stories 1
stranded 1
such 1
teaches 1
the 10
their 1
them 3
they 1
through 2
time 1
to 5
together 1
twentiethcentury 1
two 2
volunteers 1
well 1
who 2
witchcraft 1
with 4
without 1
yearold 1
