4665321
/m/0cg5nd
/m/0cg5nd
Judy Blundell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
accompanying 1
all 1
an 1
anakin 3
ancient 1
and 3
are 1
as 2
be 2
before 1
but 1
competitive 1
contest 1
control 1
dark 1
death 1
deeper 1
destroy 1
disciplines 1
escaped 1
evil 1
ferus 1
for 1
goal 1
granta 1
graveyard 1
grows 1
has 2
help 1
his 1
home 1
inevitable 1
intercept 1
into 1
is 2
it 1
jedi 3
kenobi 1
korriban 1
madman 1
mastermind 1
may 1
mission 1
most 1
now 1
obiwan 1
of 5
off 1
olin 1
omega 3
on 1
one 1
order 1
out 1
outcome 1
pair 1
planet 1
plunges 1
power 1
powerful 1
quest 1
rival 1
search 1
secrets 1
sees 1
showdown 1
side 1
sinister 1
sith 2
skywalker 1
stave 1
such 1
that 1
the 10
their 1
this 3
thoughts 1
to 6
unbecoming 1
up 1
who 1
won 1
