25179735
/m/09gqfr2
/m/09gqfr2
Stephen Coonts

a 10
a6s 1
about 2
administration 1
against 3
aggressive 1
air 2
aircraft 1
airspace 1
along 1
also 1
although 1
american 1
an 3
and 9
anything 1
are 5
areas 1
as 4
at 1
attack 1
authorize 1
aviators 3
aware 1
barred 1
be 1
became 1
because 1
becomes 1
been 1
begin 1
begins 2
being 2
bombings 1
both 1
but 1
by 5
callie 1
campaign 1
cant 1
carrier 1
center 1
certain 1
charges 1
christmas 1
closes 1
cole 4
communist 1
completed 1
confront 1
conviction 1
damage 1
dangerous 1
decides 1
defended 2
defenses 1
derisively 1
despite 1
dont 1
down 1
dropped 1
due 1
during 1
efforts 1
elude 1
enemy 1
engagement 2
escalation 1
even 2
eventually 1
experience 1
exploits 1
extremely 1
fact 1
farmer 1
fatal 1
fatally 1
fired 1
flight 1
flown 1
flying 2
follows 1
for 2
forced 1
forces 1
friend 1
from 2
frustrations 1
future 1
gomers 1
good 1
grafton 7
graftons 4
ground 2
hanoi 3
have 1
he 3
heavily 2
help 1
hide 1
his 5
hit 3
hitting 1
horror 1
however 1
if 1
ii 1
imposed 1
in 4
inflict 1
instead 1
intelligence 1
intruder 1
is 7
it 1
jake 1
know 1
known 1
learn 1
linebacker 1
lines 1
locate 1
lone 1
loss 1
making 1
many 1
massive 1
mcpherson 1
militarily 1
minimal 1
missiles 1
mission 5
missions 1
more 1
morg 3
morgan 1
most 2
navigator 2
navy 2
near 1
nearly 1
new 2
night 1
nixon 1
no 2
north 4
novel 1
of 14
offensive 1
officers 1
on 4
once 1
one 1
order 1
ordered 1
other 1
over 1
paired 1
parks 1
party 1
pilots 2
plan 2
plane 1
positioned 1
president 1
problems 1
prosecute 1
prosecuted 1
proves 1
question 1
refer 1
remainder 1
rescued 1
restrictive 2
richard 1
romances 1
routinely 1
rules 2
sam 1
same 1
serious 1
shiloh 1
shilohs 1
shot 3
sites 1
soon 1
story 1
stray 1
strike 1
strikemdashthere 1
striking 1
successful 1
successfully 1
superiors 1
supposed 1
surface 1
suspected 1
system 1
target 2
targets 2
targetsmdashtypically 1
that 2
the 36
there 1
they 4
tiger 1
to 11
traumatized 1
truck 1
two 1
unauthorized 2
up 1
usn 1
uss 1
valuable 2
veteran 1
vietnam 3
vietnamese 1
violation 1
virgil 1
war 2
was 1
way 1
weapons 1
were 2
what 1
when 1
whether 1
which 1
whom 1
wife 1
will 2
with 7
worth 1
worthless 1
wounds 1
yet 1
