18920756
/m/04jchv1
/m/04jchv1
Elizabeth Enright
1944
3 1
a 6
about 1
abusive 1
adult 1
adventures 1
against 1
age 1
also 1
an 1
and 6
are 1
at 2
away 1
be 1
becomes 1
been 1
beloved 1
boy 1
brings 1
brush 1
but 2
by 3
canning 1
care 1
caterpillars 1
children 3
collecting 1
composes 1
country 1
countryside 1
cousin 2
cuffy 2
dont 1
economics 1
end 1
entranced 1
family 1
father 2
fire 1
fish 1
for 1
four 1
fourstory 1
friends 2
goes 1
government 1
had 1
hand 1
has 1
he 1
help 1
helping 1
hired 1
his 2
house 1
housekeeper 2
how 1
ii 1
in 3
intention 1
into 1
is 3
ithaca 1
job 1
know 1
live 2
local 1
making 1
mark 3
meanwhile 1
meeker 1
melendy 2
member 1
metal 1
miranda 1
mistake 1
mona 1
most 1
neighborhood 1
new 4
notable 1
occurs 1
of 6
old 1
oliver 1
opus 1
oren 1
permanent 1
possibilities 1
presented 1
professor 1
randy 1
related 1
rush 2
scoundrels 1
scrap 1
secret 1
sick 1
some 1
the 11
their 9
there 1
they 1
to 4
try 1
under 1
unexpected 1
up 2
venture 1
visit 1
want 1
war 1
when 1
where 1
who 1
widowed 1
with 2
world 1
york 1
