5311969
/m/0ddykx
/m/0ddykx
Earl Lovelace
1979
{"/m/02xlf": "Fiction"}
1 1
10 1
11 1
12 1
123 1
128 1
13 1
14 1
15 1
16 1
17 3
18 1
2 1
3 1
31 1
4 1
5 1
6 1
7 1
8 1
a 85
ability 3
able 4
about 11
abuses 1
accept 2
acceptance 1
accident 1
acknowledge 1
acquire 1
acquisition 2
addresses 1
affluent 1
africa 1
after 11
afterwards 1
again 3
against 2
age 2
aged 1
ago 1
aint 2
air 1
aldrick 46
aldricks 3
alice 1
alive 1
all 12
also 4
altercation 1
always 3
ambiance 1
ambience 1
ambitions 2
ambitious 1
amidst 1
among 1
an 13
and 148
announce 1
another 4
any 5
anymore 1
anyones 1
anything 1
apart 1
appears 3
approach 2
approached 1
approaches 3
are 10
arise 1
army 1
around 7
arrival 1
arrives 1
arrogance 1
art 1
as 38
ash 2
asked 1
asking 1
asks 2
assemble 1
assembling 1
at 25
attack 1
attempt 1
attempts 1
attention 1
attorney 1
attract 1
attraction 1
august 1
avoiding 1
avoids 1
awakes 1
aware 3
away 4
axe 2
baby 1
back 10
bad 1
band 6
bands 5
bar 2
barra 1
barrio 1
basil 2
battle 1
be 8
beauty 1
became 2
because 6
become 9
becomes 4
bedroom 1
been 6
before 3
began 1
begin 3
beginning 3
begins 5
begun 1
behavior 1
behind 2
being 6
beings 1
belief 1
believes 2
belonging 1
better 1
between 3
bicycle 4
big 2
bigger 1
bike 3
black 2
blacker 1
blood 1
blow 1
bluff 1
boiled 1
bones 1
bottle 2
bottles 1
box 1
boy 4
boya 1
boys 2
brain 1
brawl 1
break 4
breathing 1
bring 4
brings 3
broken 1
brown 1
business 2
but 17
buying 3
buys 1
buzz 1
by 18
call 2
calls 2
calvary 13
calypso 4
calypsonian 2
calypsos 1
can 3
cant 1
capture 1
car 3
caresses 1
caring 1
carnival 21
caroline 2
carry 1
carrying 1
caste 1
cat 1
causes 1
center 1
central 1
centre 1
challenges 1
champion 1
change 1
changed 3
chapter 2
character 2
chase 1
chasing 1
chenna 1
children 2
china 1
choices 1
chooses 1
chose 1
chosen 1
city 3
claws 1
cleothilda 15
cleothlida 1
cleothlidas 1
climb 1
close 2
closely 2
closer 1
collect 1
colors 1
combination 1
come 9
comes 6
coming 3
commercialized 1
companies 1
company 1
complex 1
concerns 1
concluded 1
conflict 1
confront 1
confronts 1
confusion 1
connecting 1
consequences 1
consider 1
considerably 1
considering 1
constantly 2
continue 3
continued 1
continues 1
continuing 1
continuous 1
control 1
conversation 2
convince 1
corner 5
corrupt 1
costume 11
costumes 1
could 5
councilor 1
country 3
couple 2
course 1
court 1
crack 1
crazy 1
create 2
creeps 1
creole 2
crime 1
criticisms 1
criticizes 1
crowds 1
crowley 1
cuba 1
cuff 1
dance 4
dances 1
dancing 2
dangerous 1
dared 1
dark 1
day 6
days 4
decide 1
decided 1
decides 3
decision 1
deeply 2
defend 1
defense 2
degradation 1
degree 1
delicacies 1
deliver 1
delivers 1
demonstrate 1
derogatory 1
described 1
describing 1
descriptive 1
deserters 1
desire 2
desired 1
desires 1
desk 1
desperadoes 1
despite 1
development 1
devil 3
did 2
didnt 1
diego 1
