30229174
/m/0g546c7
/m/0g546c7
Gordon Brown
2010-12
0 1
1 1
10 1
11 1
13th 1
17 2
18 1
2 1
200 1
2000 1
2007 1
2008 2
2010 1
2014 1
20th 1
26 1
3 1
4 2
5 1
50 1
6 1
7 1
8 2
a 20
about 5
access 1
account 3
achieve 3
achieved 1
achieving 1
acknowledge 1
acknowledges 1
act 2
action 2
additional 1
adequate 1
advises 2
africa 2
african 1
after 3
aftermath 1
ahead 1
aimed 2
all 2
alone 1
also 5
america 4
american 1
an 4
analysis 1
and 36
announced 2
appendix 2
are 4
areas 1
as 6
asia 2
asian 2
asserts 1
at 4
attack 1
attention 1
authorities 1
available 1
back 2
bank 3
banking 3
banks 2
barack 1
be 13
became 1
become 5
been 3
better 1
between 1
book 2
boost 5
boosting 2
borrowing 1
both 3
breaking 1
brief 1
britain 1
british 1
brown 25
browns 1
building 1
but 3
by 10
called 1
calls 1
can 5
capital 1
century 1
challenges 3
chapter 11
chapters 1
china 6
citizens 1
collaboratively 1
combined 2
community 1
concerns 1
concertedly 1
concludes 1
conclusion 3
conduct 1
consensus 2
consumption 2
contains 2
continent 1
contrast 1
contribute 1
contributing 1
contributions 1
cooperation 5
coordinated 2
could 1
countries 3
country 1
coupled 1
covers 1
crises 8
crisis 5
currency 1
current 5
day 1
debt 1
decade 1
decided 1
decision 1
deficit 4
delivered 1
delivery 1
demand 2
describes 1
developed 2
diagnoses 1
dialogue 1
different 2
diplomacy 1
direction 1
discusses 3
discussing 1
distribution 1
divided 1
domestic 4
done 1
double 1
during 1
earlier 1
economic 2
economy 1
effective 1
either 1
eleven 1
emerging 2
ending 1
engine 1
engines 1
enhanced 1
enormous 1
ensure 3
especially 2
essential 2
ethical 1
europe 5
eurozone 2
evolved 1
exceptional 1
excessive 1
excessively 1
executed 1
export 1
exports 2
faced 1
facing 1
fair 1
favouring 1
financed 1
financial 1
first 1
fiscal 1
flexibility 1
flight 1
focus 3
focuses 1
for 14
foreign 1
forward 2
found 1
four 1
french 1
friendly 2
from 5
fully 2
fund 1
further 5
g20 3
gain 1
giants 1
global 14
globalisation 1
go 1
goals 2
government 3
greater 1
ground 1
growth 13
had 4
harder 1
has 7
have 1
he 9
heads 1
held 1
help 6
helped 1
her 1
here 1
high 3
his 2
hit 1
hong 1
hostile 1
how 3
however 1
if 5
imbalances 4
important 3
in 18
inadequate 2
including 2
increased 1
india 3
indian 1
individual 1
inequality 1
inform 1
informed 1
infrastructure 1
internally 1
international 3
intervention 1
into 1
introduction 3
investment 3
is 14
issues 1
it 5
its 1
jobless 1
just 1
keep 1
kong 1
lagging 1
large 2
largely 1
last 1
latin 2
leaders 1
leading 1
left 1
lessons 1
level 1
levels 1
lift 1
like 3
london 1
looking 1
low 1
lower 1
made 2
majority 2
make 1
making 1
manmohan 1
market 2
markets 2
marshalled 1
meeting 1
mention 1
million 2
millions 2
minister 1
minority 1
monetary 1
morality 1
more 3
motive 1
moving 1
much 3
nations 4
necessary 1
need 9
needed 2
needs 2
net 1
new 2
nicolas 1
northern 1
not 4
notes 2
now 1
obama 1
oct 1
october 1
of 25
on 11
one 2
ongoing 1
only 1
opportunity 1
optimised 1
or 3
orientated 1
other 1
out 1
outcome 1
over 1
overcome 4
own 2
part 2
participants 2
parts 1
people 1
persuading 1
plan 3
plane 1
plans 2
play 1
policies 4
policy 1
poorly 1
potential 1
poverty 6
praises 1
president 2
prevail 1
prime 1
private 1
problems 2
production 1
profit 1
progress 1
prologue 3
prompted 1
purely 1
push 1
qualities 1
reasons 1
recalls 1
recapitalisation 3
recapitalise 1
recaps 1
recently 1
reduce 2
reduced 1
reducing 4
reduction 3
reflects 1
regions 4
reiterates 1
relates 3
relating 1
relation 1
report 1
reserves 1
resources 1
response 3
rest 3
retaining 1
review 1
risk 1
rock 1
role 1
room 1
run 1
running 1
russia 1
same 1
sarkozy 1
says 9
sector 3
sept 1
september 1
setting 1
several 1
share 2
she 1
showed 1
singh 1
situation 1
sketches 1
so 1
some 1
sometimes 1
specific 2
speculative 1
speech 1
stage 1
starting 1
state 1
states 2
still 1
story 1
stresses 1
successful 2
such 1
sufficient 1
suggested 1
summit 2
sums 1
sure 1
surplus 1
surpluses 1
sustained 1
sustaining 1
switching 1
takes 1
taking 1
team 1
than 2
that 20
the 80
their 6
them 4
themes 1
there 2
they 1
this 2
those 2
thoughts 1
threaten 1
thus 1
time 1
to 46
together 1
total 1
tracks 1
trade 2
transatlantic 1
two 1
uk 1
understood 1
unemployment 4
uneven 1
union 1
united 1
unlikely 1
unsustainable 1
unveiled 1
up 3
us 5
values 1
various 1
was 5
ways 1
weeks 1
well 1
what 1
when 1
which 8
while 4
whole 2
wider 2
will 8
wisely 1
with 9
without 1
work 2
world 6
worldwide 1
worsening 1
years 3
