5525893
/m/0dqycf
/m/0dqycf
Robert Ludlum
2006-10-17
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
12 1
a 5
abducted 1
about 1
abroad 1
after 1
agency 1
agent 2
alliance 1
an 1
and 3
andrea 3
are 1
at 1
balance 1
bancroft 2
bancrofts 1
been 1
behind 1
belknap 3
best 1
board 1
but 2
coincidences 1
come 1
condition 1
consular 1
cousin 1
cut 1
decides 1
destabilize 1
devastating 1
dollars 1
estranged 1
exactly 1
family 2
fathers 1
fellow 1
field 1
for 2
form 1
foundation 1
friend 1
from 3
genesis 1
genesisbefore 1
geopolitical 1
gone 1
government 1
hands 1
having 1
her 2
his 2
if 1
in 2
inherit 1
into 1
intrigued 1
involvement 1
is 5
it 1
job 1
late 1
learns 1
life 1
lives 1
loose 1
matters 1
meanwhile 1
metwith 1
million 1
millions 1
most 1
must 1
mysterious 1
never 1
of 5
on 1
one 1
operations 1
own 1
person 1
refuses 1
risk 1
series 1
she 2
shes 1
sit 1
step 1
take 1
the 8
they 1
to 6
todd 1
together 1
too 1
truth 1
uncover 1
uneasy 1
what 1
when 1
with 1
working 1
wrong 1
