8417547
/m/0272pbn
/m/0272pbn
James Salter
1956
40000 1
a 77
abandoning 1
abbott 6
ability 1
about 10
above 2
abuzz 1
accompany 1
accomplishment 1
accomplishments 1
accordingly 1
accusation 1
accuses 3
ace 5
acolytes 1
act 1
acutely 1
admirer 1
admires 1
admits 1
advantage 1
adversaries 1
after 4
afternoon 2
afterwards 1
again 1
ago 1
agrees 1
air 6
akin 1
all 6
almost 3
also 3
although 2
altitude 1
ambition 3
ambitions 2
amidst 1
among 1
an 11
analysis 1
and 83
angering 1
angrily 1
anguish 1
another 3
answers 1
anticipated 1
any 7
apologize 1
apparent 1
apparently 1
appear 1
are 8
area 1
around 1
arrival 1
arrives 2
artist 1
as 18
aside 1
asking 1
asks 3
aspiration 1
assigned 3
assignment 1
assigns 1
at 9
attack 2
attacking 1
attempt 1
authority 1
aware 3
away 1
back 8
backs 1
bad 4
balance 1
bar 1
barracks 1
base 3
baths 1
battle 4
be 7
because 2
become 2
becomes 4
been 4
before 3
begins 3
behind 4
being 2
belief 1
believe 1
best 2
better 1
between 1
beyond 1
big 2
billeted 1
billy 2
bitter 1
black 1
blinds 1
booked 1
boswell 1
both 2
break 2
breakfast 1
brief 1
briefed 1
briefing 1
brings 1
brothel 1
brother 2
bureaucracy 1
bursts 1
but 18
by 11
cadet 1
cajole 1
call 1
camera 1
can 2
captain 1
care 1
cares 1
caring 1
carl 1
case 1
casey 11
catch 1
catches 1
celebrity 1
change 1
chased 1
chastises 1
chides 1
choosing 1
civilian 1
civilization 1
claimed 1
claims 1
clashes 1
clean 1
clearly 1
cleve 60
climb 1
closes 1
club 4
clubs 1
cocktail 2
cocky 1
cold 1
colonel 4
combat 8
come 1
comes 3
commander 2
commanders 1
common 1
companion 1
competing 1
competitive 1
completing 1
comrade 1
conceived 1
confidence 2
confidently 1
confirm 3
confirmed 1
confirming 1
confirms 2
connell 1
conscience 1
consists 1
contact 1
contemptuous 1
contrast 1
control 1
conversation 1
cool 2
corner 1
correspondent 1
corrosive 1
could 1
country 1
