31643740
/m/0gmf511
/m/0gmf511
Thomas Sowell


a 4
act 1
administration 1
also 1
american 1
an 1
and 8
as 2
at 1
audits 1
banks 2
both 1
bush 1
california 2
causes 1
community 1
congress 1
contrasts 1
crisis 1
decreased 1
economic 1
enabling 1
example 1
expensive 1
explores 1
failed 1
fannie 1
fellow 1
flexible 1
for 4
forced 1
freddie 1
george 1
government 1
had 2
he 2
highly 1
his 1
homes 2
hoover 1
housing 5
immense 1
in 4
increase 1
innovative 1
institution 1
lacks 1
law 1
laws 2
lenders 1
lending 2
links 1
loans 2
local 2
mac 1
mae 1
magazine 1
major 1
make 1
members 1
middleclass 1
minorities 1
mistook 1
modest 1
more 1
mortgages 1
national 1
obstructing 1
of 7
one 1
open 1
or 1
other 1
parties 1
political 2
politically 1
prices 3
problems 1
quotas 1
reason 1
regarding 1
reinvestment 1
resort 1
result 1
resulted 1
reveals 1
risky 1
senior 1
set 2
similar 1
size 1
sowell 2
space 1
stance 1
standards 2
subprime 1
such 1
summarized 1
targets 1
texas 2
that 5
the 7
theorizes 1
those 1
to 6
up 1
variability 1
various 1
w 1
were 1
which 1
with 1
zoning 1
