4496244
/m/0c5jv0
/m/0c5jv0
Cecelia Ahern
2005-11
{"/m/05hgj": "Novel"}
3 1
80 1
a 12
abandoned 1
abandonment 1
able 4
about 1
admits 1
advantage 1
age 2
along 1
always 1
an 1
and 11
are 3
around 1
as 3
asks 1
at 4
be 3
become 1
been 3
benjamin 1
between 1
birth 1
blossoms 1
boss 1
but 3
by 4
can 2
cannot 1
care 2
changed 1
claims 1
come 1
comes 1
convince 1
day 1
days 1
delighted 1
dinner 1
disappointed 1
dream 1
due 1
egan 1
elisabeth 1
elizabeth 16
eventually 1
exasperated 1
experience 1
explaining 1
far 1
father 1
favorite 1
feel 1
few 1
first 1
follows 1
for 2
forced 1
freespirited 1
friend 6
friends 2
friendship 1
from 2
gives 1
go 2
going 1
grow 1
had 1
has 5
have 1
having 1
he 7
her 7
him 10
his 3
hosting 1
however 2
imaginary 3
in 4
instead 1
into 1
invisible 1
inviting 1
ireland 1
is 10
it 3
ivan 11
jokes 1
joys 1
just 1
knowing 1
known 1
last 2
later 1
laughing 1
learns 1
leaves 1
led 1
life 2
listen 1
longer 2
love 3
luke 6
man 1
meets 1
months 1
more 1
most 1
mother 1
move 1
much 2
named 1
need 1
never 1
new 1
no 2
not 1
of 9
old 1
on 1
one 3
only 4
opal 3
or 1
out 1
own 2
party 1
people 1
playing 1
pleasure 1
presence 1
prevents 1
quickly 2
real 2
realise 1
realises 1
realizes 1
refuses 1
relaxed 1
remain 1
remained 1
responsibility 1
romance 1
sad 1
saoirse 3
see 7
sees 1
sense 1
separate 1
serious 1
she 12
simplest 1
sister 1
six 1
sleeps 1
small 1
son 1
soon 1
starts 1
stifling 1
suddenly 1
take 2
takes 1
taking 2
tale 1
tells 2
that 7
the 4
their 1
them 1
they 1
thinks 2
this 2
though 3
time 3
to 21
too 1
town 1
trapped 1
turns 1
up 1
visits 1
was 5
wasnt 1
ways 1
well 1
when 7
which 1
while 4
who 2
whom 1
why 1
will 4
wishes 1
with 5
woman 1
work 1
would 1
year 1
young 3
