7781353
/m/026cw6s
/m/026cw6s
Carolyn Keene
1938
a 7
an 2
and 2
area 1
as 1
asks 1
assist 1
attempts 1
before 1
being 1
bridge 1
by 2
caddy 2
carson 1
case 1
chance 1
confront 1
daughter 1
decides 1
dense 1
detective 1
down 1
drew 2
father 2
footbridge 1
frightening 1
gang 1
ghost 1
golf 1
guarded 1
has 1
haunted 1
her 3
him 1
in 1
international 1
intrigued 1
investigate 1
is 2
jewel 1
jewelry 1
key 1
leads 1
member 1
mystery 1
nancy 4
nearby 1
of 6
old 1
on 2
resort 1
riddles 1
ring 1
several 1
she 1
solve 1
start 1
story 1
summer 1
suspected 1
tale 1
tells 1
the 9
thieves 2
to 5
track 1
trail 2
woman 1
wooden 1
woods 1
work 1
young 1
