675491
/m/031_c4
/m/031_c4
Julia Álvarez
1994
{"/m/02p0szs": "Historical fiction", "/m/0277ppz": "Non-fiction novel", "/m/05hgj": "Novel"}
14 1
a 9
about 1
accident 1
activities 1
against 1
all 2
allow 1
although 1
an 1
and 8
are 5
as 3
at 1
awakening 1
awarded 1
be 1
beaten 1
became 2
best 1
bodies 1
book 2
bring 1
butterfly 1
by 3
carry 1
child 1
cliff 1
commitment 1
confided 1
convinced 1
court 1
daughters 1
death 1
deaths 1
ded 3
dictator 1
dictatorship 1
discussed 2
domingo 1
dominican 2
dream 1
driver 2
dumped 1
during 2
each 1
escape 1
events 2
eventually 4
exiled 1
explains 1
false 1
family 2
farmers 1
father 1
first 1
followed 1
for 3
four 1
friends 2
from 3
gatherings 1
girl 1
glorious 1
go 1
going 1
group 2
had 1
harassed 1
he 1
held 1
help 1
her 7
hero 1
him 1
his 1
house 1
how 1
husbands 2
illegal 1
imprisoned 1
in 9
indicate 1
individual 1
intelligence 1
invited 1
is 1
jail 1
jeopardy 1
june 1
killed 1
killer 1
last 1
later 3
leader 1
leadership 1
leading 1
light 1
like 1
look 1
make 2
meets 1
members 1
military 1
minerva 6
mirabal 5
names 1
national 1
number 1
obligated 1
of 10
off 1
on 1
one 2
operated 1
order 1
orders 1
other 1
overthrow 1
participants 1
party 1
patria 1
persecuted 1
perspective 1
plata 1
plot 1
political 4
presents 1
puerto 1
putting 1
rafael 1
referred 1
refuses 1
regime 1
repeatedly 1
republic 2
retaliation 1
retell 1
returning 1
road 1
rufino 1
santo 1
school 2
secrets 1
service 1
she 4
sinita 2
sister 4
sisters 7
slapped 1
story 2
suffers 1
surviving 1
taken 1
tale 1
tell 1
tells 1
that 1
the 27
their 10
then 1
they 3
this 1
three 1
through 1
throughout 1
time 1
to 14
tragic 1
tried 1
trujillo 8
truth 1
unusual 1
up 1
used 1
vehicle 1
vengeance 1
visiting 1
was 7
were 1
when 2
where 1
which 2
while 2
who 1
wife 1
with 2
women 1
wrath 1
years 1
