27095056
/m/0bs64jb
/m/0bs64jb
Isabel Allende
2009
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
18th 1
a 6
african 1
all 1
ambivalent 1
an 2
and 4
as 5
beautiful 1
becomes 1
behalf 1
between 1
big 1
bondage 1
brought 1
brutality 1
by 1
century 1
change 1
chaos 1
children 1
courtesan 1
cultural 1
current 1
daughter 1
day 1
decades 1
distant 1
does 1
dreams 1
end 1
father 1
financial 1
fomenting 1
forces 1
four 1
fragile 1
french 1
frenchman 1
from 1
girl 1
goes 1
haiti 1
haitian 1
has 2
he 2
her 1
his 2
illegitimate 1
in 2
inherited 1
into 2
is 4
island 1
it 1
its 1
knew 1
known 1
late 1
leaps 1
mad 1
madness 1
marriage 1
means 1
mixed 1
most 1
mother 1
narrative 1
never 1
new 1
now 1
of 5
on 2
one 1
opens 1
orleans 1
personal 1
plantation 1
produces 1
purchased 1
race 1
rebellion 1
revolution 1
sailors 1
saintdomingue 1
servitude 1
several 1
sexual 1
she 1
slave 2
slavery 1
slowly 1
social 1
somewhat 1
spanning 1
story 1
success 1
succumbs 1
sugar 1
teenager 1
tete 4
the 9
things 1
to 4
toulouse 1
towards 1
upheavals 1
upon 1
valmorain 6
views 1
violette 1
which 1
white 1
who 2
wife 3
with 1
young 1
zarite 1
