9636830
/m/02pmpkg
/m/02pmpkg
Jeff Lindsay
2007
{"/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 22
able 1
about 2
abusive 1
accept 1
act 1
adopted 1
adoptive 1
again 1
against 2
age 1
all 1
almost 1
alone 1
along 1
also 2
amount 1
an 6
analyst 1
ancient 1
and 27
anger 1
any 1
are 5
armed 1
around 2
as 6
astor 4
at 4
attempting 1
avatar 1
awareness 1
back 2
balance 1
banality 1
be 5
becomes 1
been 2
before 1
begin 1
beginning 1
begins 2
beheaded 1
behind 1
being 1
believing 1
bennett 1
blend 1
blood 2
brought 1
bulls 1
burned 1
burns 1
but 2
by 5
called 2
calls 1
campus 1
captivation 1
captures 1
catches 1
causing 1
ceramic 1
ceremonial 1
channel 1
children 2
closet 1
clues 1
clutching 1
code 1
cody 5
comes 1
concerns 1
concludes 1
concrete 1
confidence 1
confined 1
continuously 1
create 1
creatures 2
crime 1
cult 5
current 1
dark 11
deed 1
department 1
despair 1
detective 1
develop 1
developed 1
dexter 27
difficult 1
dispatch 1
double 1
eager 1
early 1
emotions 2
encounters 1
engage 1
entering 1
entities 1
entity 2
entrances 1
escapes 1
exclusively 1
existed 1
falls 2
father 3
fearing 1
feeds 1
feels 1
female 1
final 2
find 2
fire 2
first 2
firstperson 2
fit 1
flaming 1
flee 1
follows 1
for 3
forcing 1
forensic 1
found 1
frightened 2
frightens 1
from 1
given 1
go 2
god 1
godlike 1
going 1
gone 1
great 1
had 2
halt 1
harry 1
has 2
have 2
having 1
he 8
headon 1
heads 2
help 1
helpful 1
her 1
hesitant 1
hide 1
hiding 1
him 10
hints 1
his 18
holding 1
homicidal 1
homicide 1
how 1
however 1
human 1
humbled 1
i 2
immense 1
in 16
includes 1
inflict 1
informs 1
instantly 1
intends 1
into 2
investigates 1
investigative 1
is 16
it 9
its 2
itself 2
jeff 1
journey 1
just 1
kidnaps 1
kill 2
killed 1
killer 2
killers 1
killing 1
knife 3
laments 1
learn 1
leaving 1
left 2
leg 1
life 5
lindsay 1
lodged 1
lust 1
made 1
mainly 1
making 1
malignant 1
man 1
many 1
member 1
members 2
miami 2
mind 1
missing 2
mocks 1
moloch 8
more 1
morgan 1
murder 1
murderous 2
murders 1
music 1
mysterious 1
mystery 1
mythical 1
narrated 1
narration 2
nature 1
newfound 1
normal 1
not 2
novel 5
now 2
observes 1
of 30
off 1
offspring 2
old 1
on 4
once 1
one 1
only 2
opens 1
orders 1
other 5
out 1
over 1
own 2
pain 1
painful 1
pant 1
paragraphs 1
pass 1
passenger 11
people 1
person 2
pit 1
pits 1
place 1
pleasure 1
point 1
points 1
police 2
possibly 1
power 1
progresses 1
prowess 1
question 1
reaches 1
ready 2
real 1
realizes 2
remaining 1
remains 1
replaced 1
revealed 1
sacrificed 1
sadness 1
saying 1
serial 1
series 2
showdown 1
shudders 1
silence 1
similar 4
since 1
slowly 1
small 1
snaps 1
solve 2
some 2
something 1
soon 4
soontobe 1
source 1
spatter 1
spirit 1
squarely 1
stalemate 1
stalking 2
stands 1
start 1
stay 1
stepchildren 1
still 1
storage 1
story 1
students 1
such 1
suffering 2
supernatural 2
suppressed 1
takes 2
teach 1
tendencies 1
that 9
the 44
their 2
them 8
then 2
thereby 1
they 3
thinks 1
third 1
this 2
those 1
though 2
threat 1
threatening 1
through 3
time 2
to 30
told 1
trained 1
training 2
trance 1
traumatized 1
true 1
turn 1
turns 1
two 2
unable 1
uncharacteristically 1
unfolding 1
university 1
until 2
unto 1
unusual 1
urges 1
used 1
various 1
victorious 1
view 2
vigilantism 1
voice 2
vulnerable 1
war 1
was 1
watcher 1
ways 1
wedding 1
weeks 1
were 1
which 3
while 2
who 3
whole 1
will 1
with 6
without 1
works 1
world 1
years 1
yet 1
you 1
