7731288
/m/026b6xj
/m/026b6xj
Elizabeth Goudge
1946-06
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
13 1
1842 1
a 1
able 1
about 1
accompanied 1
age 1
aided 1
an 2
ancient 1
and 7
as 1
at 1
away 1
beasts 1
becomes 1
benjamin 1
bring 1
but 1
by 3
cousin 1
death 1
discovers 1
do 1
dog 1
england 1
estate 1
father 1
finally 1
finds 1
founding 1
governess 1
guardian 1
heliotrope 1
her 3
herself 1
him 1
in 3
is 6
it 1
lost 1
loves 2
magical 1
manor 1
maria 3
merryweather 2
merryweathers 2
miss 1
moon 1
moonacre 2
mystery 1
of 4
one 1
only 1
orphan 1
out 1
peace 1
people 1
perseverance 1
reunite 1
right 2
save 1
selfsacrifice 1
sent 1
she 4
sir 1
somewhere 1
sun 2
that 2
the 7
there 2
time 1
to 3
too 1
upon 1
valley 1
west 1
wiggins 1
wonderful 1
world 1
wrongs 1
