34302229
/m/0hzs2ts
/m/0hzs2ts
Valerio Massimo Manfredi

{"/m/0hwxm": "Historical novel"}
13 1
a 8
about 1
achievements 1
achilles 1
admires 1
affirm 1
after 3
age 1
alexander 15
alive 1
all 1
almost 1
also 4
amongst 1
an 1
and 22
anger 1
are 4
aristotle 1
army 3
asia 1
at 2
attalus 3
attempt 1
back 2
banquet 1
be 2
becomes 2
bed 1
before 1
birth 1
boyhood 1
boys 1
bucephalus 1
but 3
by 4
calls 1
campaign 1
campaigns 1
catch 1
causes 1
ceremony 1
cheronea 1
child 1
childhood 1
children 1
cleopatra 2
close 2
closer 1
comes 1
convinced 1
courage 1
court 1
craterus 1
death 1
decidedly 1
decides 2
desire 1
do 1
dodona 1
dream 1
dreams 1
due 2
during 4
educated 1
enough 1
eumenes 1
eurydice 3
expand 1
expedition 1
experience 1
father 7
featuring 1
few 1
finally 1
first 3
firstly 1
fond 1
for 2
friends 4
friendship 1
from 2
frontiers 1
girl 1
go 2
great 2
greatly 1
greece 1
grows 2
had 1
hand 1
harsher 1
he 6
help 1
hephaestion 1
her 7
hero 1
herself 1
him 4
himself 1
his 26
hometown 1
horse 2
however 3
human 1
immediately 1
important 1
in 4
inside 2
insults 1
into 1
is 6
its 3
jealous 1
joins 1
just 3
killed 1
king 2
lack 1
latest 1
leads 1
league 1
leave 1
leonidas 1
leonnatus 1
leptine 1
life 1
like 2
literature 1
long 1
lysimachus 1
macedonia 1
magnanimity 1
man 1
manages 1
many 2
marriage 1
marries 1
mieza 2
military 1
mostly 1
mother 4
much 2
murdered 1
murderer 1
nearby 1
new 1
not 1
notions 1
now 1
obliged 1
of 16
offends 1
offspring 1
old 2
olympias 2
oracle 1
out 1
own 1
palace 3
panhellenic 1
pella 2
people 1
perdiccas 1
philip 4
philosopher 1
philosophy 1
philotas 1
polygamy 1
position 1
pride 1
priests 1
prince 1
prove 1
ptolemy 1
queen 1
reconciled 1
records 1
recounts 1
refuge 1
replaced 1
responsible 1
royal 1
saved 1
science 1
secretary 1
seed 1
seleucus 1
send 1
sequence 1
shall 1
share 1
she 2
shortly 2
sister 1
slavery 1
slithering 1
snake 1
so 2
sorrow 3
starts 1
stay 1
steps 1
still 1
story 1
takes 1
taking 1
tame 1
teaches 2
tell 1
thanks 1
that 3
the 29
them 2
then 2
thessaly 1
they 2
things 1
this 1
throne 1
thrusting 1
time 1
to 25
towards 2
town 1
tutored 1
two 1
unbearable 1
uncle 1
undertake 1
unhappy 1
until 1
up 1
values 1
very 4
veterans 1
victories 1
victorious 1
war 2
wedding 1
when 7
where 1
which 1
wild 1
will 1
wished 1
with 3
would 1
years 1
young 2
zeus 1
