9936413
/m/02pxjm5
/m/02pxjm5
Henry Austin Dobson
1907
{"/m/0hwxm": "Historical novel"}
a 12
accused 2
actually 1
after 2
aldwark 1
also 1
and 10
any 1
are 4
as 1
asks 1
at 1
back 1
bathurst 1
be 1
beau 3
beautiful 1
been 2
before 1
being 2
beloved 1
blacksmith 2
bonny 1
brigade 1
brocade 3
but 2
by 2
can 2
captain 1
challoner 1
charlie 1
clear 1
clothes 1
coach 2
coaches 1
couple 2
cover 1
days 1
death 1
defeat 1
deliver 1
derbyshire 1
discussing 1
disguised 1
distance 1
dragoons 1
earl 1
eleventh 1
fear 1
figure 1
for 5
forge 1
friends 1
from 2
fugitive 1
gascoyne 2
george 1
get 2
gets 1
give 1
given 1
gives 1
goes 1
government 1
guineas 2
hamlets 1
handsome 1
has 3
he 2
head 1
heads 1
her 2
herself 1
hiding 3
high 1
highland 1
highway 1
his 9
holding 1
honest 1
horses 1
hours 1
humphrey 2
hundred 1
in 7
inn 1
innocence 1
instead 1
into 1
is 4
jack 1
james 1
john 2
journey 1
just 1
king 2
lady 1
later 1
leave 1
letter 1
letters 1
life 1
local 1
london 2
longer 1
looking 1
loyal 1
majesty 1
man 1
masked 1
months 1
moors 1
name 1
nephew 1
no 1
noone 1
note 1
notorious 1
now 1
odd 1
of 12
offering 1
on 1
or 1
packet 1
patience 3
philip 5
places 1
poor 1
pretending 1
price 1
prince 1
prove 1
put 1
rebel 1
recent 1
rest 1
reunited 1
reward 1
rich 1
ringing 1
roams 1
rough 1
she 2
shelter 1
shouts 1
sir 2
sister 3
so 1
spot 1
starting 1
steal 1
stich 1
stitch 1
stretton 1
take 1
the 17
their 1
them 1
they 2
those 1
to 12
towards 1
tragic 1
traitor 2
treason 1
troops 1
trusting 1
trying 1
turns 1
twenty 1
up 2
village 1
villages 1
when 1
which 1
while 2
white 1
who 1
whose 1
wild 1
with 3
wrongly 1
