13520560
/m/03c81kl
/m/03c81kl
William Nicholson
2007-09
200 1
a 18
about 3
across 2
actually 1
advice 1
after 2
again 1
ago 1
aid 1
all 5
already 1
also 3
amroth 2
an 4
anacrea 1
and 38
another 1
anyone 1
anything 1
appears 2
are 3
army 3
arrives 1
as 4
asks 1
assassin 2
assembly 1
at 6
aura 1
back 3
battle 3
be 2
became 1
because 1
become 1
becoming 1
been 1
before 1
beginning 1
below 1
blue 1
boat 2
body 2
book 3
boy 4
bridge 1
briefly 1
brother 1
but 4
by 8
call 2
called 2
camp 1
caressa 2
centre 1
chair 6
chased 1
chases 1
childhood 1
claims 1
coast 1
come 1
comes 3
complies 1
containing 1
cornflower 1
covered 1
cracked 1
crawls 1
created 1
crossing 1
dances 1
day 1
did 1
didnt 1
die 3
died 1
disappeared 1
display 1
does 2
door 1
down 2
duel 2
echo 4
elder 1
else 1
embrace 4
emptied 1
empty 2
end 1
entered 2
enters 1
escape 2
especially 1
events 1
eventually 1
everyone 1
everything 1
evil 1
exclaims 1
expensive 1
experiment 1
explains 2
eyes 2
faith 2
father 1
fears 1
fights 1
final 1
finally 1
find 1
finds 8
first 1
fleeing 1
flees 1
followers 1
for 3
forced 2
formed 1
former 1
found 1
friend 1
from 3
funeral 1
garden 5
gathering 1
get 1
gets 1
gives 2
giving 1
glimmen 2
go 1
god 3
goes 3
gone 1
grass 1
great 6
had 3
hall 1
hands 1
hardly 1
has 6
have 2
haven 1
having 1
he 28
head 1
help 1
helps 1
her 4
herself 1
him 8
himself 2
his 17
hole 2
home 1
house 2
huge 1
hunting 1
immediately 1
in 15
infects 1
inhabited 1
inside 1
instead 1
is 22
it 4
jahan 2
jango 9
join 1
joy 6
joyous 4
just 1
keep 1
kill 3
kingdom 1
kissing 1
kittle 1
knowledge 2
knows 1
lands 2
last 6
leader 1
leadership 1
leading 1
learns 1
leaves 3
leaving 1
let 1
lir 5
living 2
long 1
look 2
looks 1
looted 1
lord 1
lost 1
man 2
manage 1
manages 1
manlir 11
mansion 1
meanwhile 1
meet 1
meets 2
met 1
middle 1
mirrors 2
more 1
morning 6
mountain 1
mountains 1
moves 1
much 1
mysterious 2
mysteriously 1
name 1
near 1
necessary 1
need 1
next 2
no 1
noble 3
nom 1
noman 4
nonexistence 1
not 2
nothing 1
now 4
of 23
off 3
old 4
older 1
on 4
once 1
one 5
only 3
order 1
orlans 1
other 3
out 3
over 3
overpowers 1
own 3
people 3
person 1
persuades 1
place 2
possessed 1
premise 1
quest 1
radiance 1
rather 1
realised 1
realises 1
refuge 1
releases 1
releasing 1
reluctantly 1
replies 1
restlesness 1
resurrects 1
returns 2
reveals 3
rises 1
river 1
ruled 1
sabin 1
same 1
sat 1
savanter 5
savanters 5
sea 2
see 1
seeker 33
sees 3
sent 1
set 1
sets 2
shab 1
she 6
ship 1
sickened 1
silver 1
similar 1
sits 1
sleeping 1
snakey 1
so 1
some 1
son 1
soon 3
spectacular 1
spiker 4
spikers 1
stall 1
star 6
start 2
started 1
starting 1
still 1
stood 1
strange 1
strength 1
strong 1
suck 1
sunlight 1
sunset 1
suspicious 1
takes 1
talks 1
tells 4
than 1
that 16
the 96
them 3
themselves 1
then 6
there 6
they 2
this 1
though 2
through 9
time 1
to 35
told 1
too 1
track 1
transferred 1
travels 1
true 1
two 1
under 1
up 1
upon 1
valley 4
village 1
wake 1
wall 1
walls 1
warriors 3
was 4
well 1
what 1
when 8
where 3
which 7
whilst 1
whip 1
who 7
wildman 9
will 2
with 6
within 1
years 1
young 1
