21101819
/m/05c1xpq
/m/05c1xpq
Edith Pargeter
1979
{"/m/02n4kr": "Mystery"}
10 1
1138 1
a 31
abbey 9
abbot 2
about 1
accept 1
accuses 1
action 1
actually 2
adam 2
adeney 3
admits 1
advance 1
adventurous 1
after 2
afternoon 1
against 1
agrees 3
aid 1
aided 2
aiding 1
alan 1
alarm 1
aline 13
all 2
alms 1
along 1
also 2
among 1
an 1
and 44
appearance 1
appointment 1
appoints 1
approach 1
are 4
army 1
arranged 1
arrives 1
as 11
asked 1
asks 2
aspect 1
assents 1
assistance 1
associate 1
assure 1
at 5
attacked 1
attacker 1
attends 1
august 1
aunt 1
aware 2
awoke 1
back 2
banquet 2
barn 2
be 6
because 1
been 5
before 6
began 2
beggar 3
beginning 1
belonging 2
beringar 29
besieging 1
betrayed 1
betrothed 2
blade 1
blund 9
bodies 2
body 2
both 2
boy 1
bridge 1
bring 1
broke 1
brother 6
brought 1
bundle 1
burial 1
buried 1
but 4
butcher 1
by 17
cadfael 39
called 1
caltrop 1
camp 3
can 2
carries 1
carry 1
castle 9
catch 1
cause 1
certain 1
chance 1
charge 1
child 1
christian 1
church 1
clean 1
clever 1
cloak 2
close 1
clothes 1
clothing 1
combat 2
commandeer 1
completing 1
conceal 1
concludes 1
confirming 1
confirms 1
connections 1
contain 1
contest 1
control 1
conversation 1
cooperate 1
corn 1
corpse 4
counting 1
courcelle 15
craftsmen 1
crime 1
crowd 1
cut 2
dagger 12
daggers 1
daughter 1
day 7
days 1
dead 2
death 1
decides 1
declared 1
decorated 1
decoration 1
deed 1
delegates 1
deliver 1
denies 1
depart 2
deputy 2
described 1
designated 1
determine 1
dies 1
dirt 2
discovering 1
dispatching 1
distribute 1
do 1
down 1
during 1
duty 1
each 1
eager 2
early 1
eating 1
eavesdropping 1
edric 1
elder 1
empress 2
encountering 1
encounters 1
ensuring 1
enter 1
escape 4
even 1
evening 2
evenly 1
every 3
evidence 1
exchange 1
exchanged 1
executed 1
extent 1
extra 1
faintree 12
fall 1
falls 3
family 1
farewell 1
farmer 1
fate 1
father 1
fearful 1
fears 1
feast 1
fell 2
fight 2
fighting 1
filled 1
find 3
firm 1
first 1
fished 1
fits 1
fitz 1
fitzalan 4
fled 1
flee 1
flesher 1
floor 2
following 1
food 2
footsteps 1
for 23
forced 2
forest 1
forested 1
formally 1
formerly 1
fought 2
foul 1
found 4
frankwell 3
free 1
fresh 2
friend 1
from 9
fulke 1
full 1
game 1
garrison 1
gave 1
giles 11
girl 3
given 1
gives 3
go 1
godith 15
godric 9
grange 6
great 1
guilt 1
guilty 1
had 2
hanged 3
harvest 1
has 12
have 1
he 26
hear 1
heirloom 1
help 2
helping 1
her 15
herbarium 2
heribert 2
hid 1
hidden 1
hide 1
hiding 2
him 6
himself 2
his 21
honor 1
honourable 1
hoping 1
horrified 1
horse 3
horses 5
hours 1
how 1
however 1
hugh 7
husband 1
hut 3
identifies 1
if 1
impatient 1
in 30
infuriated 1
inside 1
instructed 1
intentions 1
interest 1
into 3
is 32
it 3
its 2
jest 1
jewel 4
jump 1
justice 2
keep 1
keeping 1
king 17
kitchen 1
knew 1
know 1
knowing 2
knows 2
laid 1
lamed 1
large 1
last 1
lasts 1
laughs 1
leader 1
learned 1
learning 1
learns 1
leaving 1
letting 1
life 3
like 1
likely 1
locates 1
lost 1
loves 1
loyal 1
loyalty 2
made 2
man 8
many 2
married 1
matched 1
matching 1
matilda 1
matter 2
meal 1
meant 1
medicine 1
men 7
mentions 1
met 1
mid 1
mill 2
mind 2
missing 1
more 1
morning 4
most 1
mounts 1
move 2
much 1
murder 3
murdered 2
murderer 1
mystified 1
name 1
named 1
near 2
needs 1
never 1
next 6
nicholas 3
night 5
ninetyfive 1
ninetyfour 3
no 3
normandy 1
not 3
notes 1
now 2
nurse 1
of 31
off 3
officer 2
old 2
on 11
once 2
one 3
only 2
or 1
ordered 1
orders 1
other 3
out 2
outside 1
own 6
pair 1
part 1
past 1
path 1
people 1
perfidy 1
person 1
petronella 1
place 4
plan 3
planned 2
planted 1
pledge 1
pray 1
present 1
prestcote 1
proof 2
proper 1
prove 1
publicly 1
pursued 1
pursuing 1
pushed 1
quarters 1
raid 1
rather 1
reach 1
reaching 1
realises 1
reassure 1
rebel 3
rebels 1
recalls 1
received 1
recognises 1
recovered 1
reentering 1
relates 1
reparation 1
repentance 1
reporting 2
reserve 1
resolving 1
rest 1
restored 1
return 1
returned 1
returns 1
reveal 1
ringleaders 3
river 2
road 1
room 2
route 1
run 1
saddlebags 2
safe 1
safety 4
satisfied 1
saved 1
saw 1
says 1
searching 1
secret 1
secure 1
seeking 1
seen 1
sees 1
seize 1
sends 1
sent 1
servant 1
service 1
settled 1
severn 2
she 7
sheriff 4
short 1
shrewsbury 4
shropshire 1
side 1
siege 1
sight 1
silence 1
silently 1
situation 1
siward 4
slip 1
slipped 1
so 2
someone 1
soon 1
south 1
speculate 1
spends 1
spirit 1
squire 1
squires 1
staking 1
stephen 9
still 1
stole 1
stolen 1
stones 1
stop 1
story 2
stranger 1
strength 1
stunned 1
success 1
suggestion 2
summer 1
supplied 1
supplies 2
supposition 1
survivors 1
suspects 1
swing 1
swords 1
table 1
take 3
taking 1
talk 1
talks 1
task 1
tasks 1
tells 1
testing 1
than 1
that 32
the 147
theft 1
their 4
them 4
then 7
theory 1
there 2
they 7
this 3
though 2
thus 3
time 2
to 61
together 1
too 3
took 1
topaz 3
torold 8
tossed 1
town 2
track 1
trap 1
treasure 11
treasury 2
treated 1
tree 1
trial 2
tried 1
trusting 1
truth 1
turn 1
turncoat 1
two 6
under 1
unidentified 1
untimely 1
usual 1
valuable 1
very 1
view 1
vigour 1
vindicated 1
visits 1
waited 1
wales 5
walk 2
warn 1
was 8
watch 2
watched 1
watching 1
way 1
welcomed 1
welcomes 1
went 1
when 3
where 3
whereabouts 1
which 2
while 3
who 10
wholly 1
will 3
with 14
without 1
woke 1
won 1
wonder 1
workshop 1
wounded 1
wrestles 1
yellow 2
young 6
