4764557
/m/0cm327
/m/0cm327
Iain Banks
2007
a 7
about 3
acquire 1
action 1
affairs 1
air 1
alban 2
also 1
american 2
and 8
another 1
approach 1
approached 1
are 1
as 3
at 2
back 1
background 1
banks 1
because 1
become 1
book 3
british 1
buildup 1
business 1
but 1
by 2
california 1
capitalists 1
certain 1
closure 1
company 2
contributions 1
corporation 1
council 1
cousin 2
current 1
dead 1
decide 1
described 1
detail 1
distracted 1
during 1
empire 1
end 1
estate 2
excolleague 1
extraordinary 1
family 8
fielding 1
finger 1
firm 1
first 1
for 1
forester 1
friend 1
from 3
game 1
gap 1
garbadale 2
general 1
girlfriend 1
goes 1
graef 1
grandma 1
grounds 1
had 1
has 3
he 3
help 1
hills 1
hillwalker 1
his 14
hong 1
in 9
intermittent 1
is 6
job 1
kong 1
lives 1
love 1
make 1
mathematician 1
matriarch 1
mcgill 5
medical 1
meeting 1
meets 1
member 1
morality 1
most 1
mother 1
much 1
near 1
of 12
on 4
opportunity 1
perth 1
place 1
points 1
portions 1
prevent 1
questions 1
raw 1
relations 1
relationship 2
reminisces 1
representatives 1
resigned 1
resolution 1
retire 1
return 1
sale 2
seeks 1
set 1
shares 1
significant 1
singapore 1
sold 1
sophie 2
spirit 1
spraint 1
steep 1
suicide 1
sutherland 1
symbolising 1
takes 3
tango 1
teenage 1
terror 1
the 23
think 1
to 9
travels 1
verushka 1
walk 1
war 1
when 1
which 2
white 1
who 2
will 1
win 1
wisdom 1
wish 1
with 4
wopuld 1
world 1
year 1
