19011615
/m/04jdhkl
/m/04jdhkl
James Patterson
2009-03-16
114000 1
60 1
a 28
abilities 1
about 3
accidentally 1
accompanying 1
acidic 1
across 2
adventure 1
aerial 2
after 5
agree 1
agrees 1
aid 1
air 3
akila 1
all 5
along 1
already 1
an 6
and 28
angel 4
angeles 1
another 3
antarctica 1
any 1
apparent 1
apparently 2
applauds 1
approved 1
approves 1
are 4
arm 1
arms 1
arrive 1
as 11
asian 1
asking 1
assassin 2
assaulted 1
at 6
attached 1
attacked 3
attacking 1
avoid 2
awareness 1
back 1
badly 1
barely 2
barrels 2
base 2
based 1
batchelder 1
battle 1
be 6
because 1
been 1
before 2
being 3
believed 1
beloved 1
best 1
beware 1
biological 2
biologically 1
bionic 1
blow 1
boat 1
bomb 1
boot 1
both 1
breaching 1
breathe 1
breather 1
brigid 7
bullets 1
burning 1
but 2
by 6
camp 1
cancel 1
cause 1
cave 2
choice 1
chu 4
cities 1
city 2
claims 1
cliff 1
close 1
closer 1
coalition 1
coast 1
colleagues 1
come 1
comes 2
completely 1
conference 1
confessed 1
conflict 1
conservation 1
contamination 1
continues 1
convinces 1
corporation 1
courses 1
created 1
crew 1
crowd 1
csm 1
date 1
day 4
dead 1
decide 1
decides 1
decision 1
dehydration 1
despite 2
destroy 2
destroying 1
developed 1
discover 1
discusses 1
dislike 1
dismay 1
do 1
dome 2
dr 7
due 3
during 1
dwyer 1
dying 1
earlier 1
ecological 1
effort 1
ella 1
emerges 1
encounter 1
ends 1
enormous 1
enough 1
entered 1
entire 1
environmental 1
escapes 1
establish 1
excel 1
expedition 2
explain 1
explore 1
facility 1
fairly 1
fang 11
fans 1
father 1
feelings 1
fend 1
fending 1
field 1
filling 1
find 4
finds 3
fire 1
fish 4
flight 1
flirt 1
flock 15
flooded 1
floor 1
fly 1
for 9
forcefield 1
form 1
found 1
friend 1
frighteningly 1
from 6
fun 1
gazzy 3
giant 2
gifted 1
gills 1
go 5
goes 2
group 9
had 5
half 1
hands 1
happy 1
harbor 1
harming 1
has 2
have 4
having 1
hawaii 3
he 2
head 1
heals 1
held 2
help 1
her 10
herself 1
hide 1
him 2
himself 1
his 2
hold 1
homemade 1
house 1
how 2
however 2
human 1
hurling 1
identity 1
iggy 3
in 13
inability 1
incredibly 1
injuries 1
inside 2
interrupted 1
into 2
investigation 1
involves 1
is 13
it 5
jealousy 1
jeb 4
kidnapped 1
killed 1
kiss 1
knowing 1
labeled 1
later 6
lead 1
leaves 1
leaving 1
lies 1
lightning 1
like 1
liking 1
located 1
location 1
look 1
los 1
loses 1
lost 1
love 1
made 1
madness 1
man 1
maneuvers 1
many 2
martinez 6
material 1
max 23
mean 1
mechanical 1
meets 1
mentally 1
mexico 1
mgeeks 5
middle 2
might 1
millions 1
miniature 1
minisub 1
minnesota 2
most 2
mother 3
mountain 1
mr 3
much 2
mucus 1
mutated 1
mysteriously 1
navy 1
nearby 1
neither 1
next 2
nicknames 1
night 4
ninjas 1
no 1
normal 1
nothing 1
nudge 3
ocean 1
of 25
off 5
on 13
one 2
only 3
other 1
out 2
outskirts 1
over 1
pacific 1
packed 1
part 1
pearl 1
people 1
perfectly 1
performance 3
pistol 1
place 1
poisonous 1
polluted 2
powerful 1
property 1
protection 1
public 1
pulled 1
put 1
quickly 1
radioactive 2
rapid 1
recovered 2
recovery 1
refusal 1
refuses 1
refusing 1
regeneration 1
regret 1
relationship 1
reporters 1
represent 1
results 1
return 1
returned 1
returning 1
reveals 1
rod 1
safe 1
same 1
scene 1
school 2
scientist 1
sea 1
seabed 1
search 2
secret 1
security 1
see 1
seem 2
seen 1
send 1
sent 1
several 1
she 8
short 1
shot 1
show 3
shows 2
signs 1
sister 1
snakes 3
sniper 1
so 1
some 1
somewhere 1
special 1
spreading 1
squid 2
stadium 2
states 1
stay 1
stop 2
stump 1
stung 1
sub 2
submarine 1
suddenly 1
suggest 1
surprise 1
surprises 1
surrounded 1
surrounding 1
surveillance 1
survival 1
take 2
taken 2
takes 1
taking 1
tapes 2
teachers 1
technique 1
telepathically 1
tells 2
thanks 1
that 11
the 89
their 5
them 9
themselves 1
they 13
thinks 1
this 1
through 1
tight 1
to 47
together 1
torture 1
total 2
try 1
two 2
uncomfortable 1
under 1
underwater 5
unexplainable 1
unhappy 1
united 1
up 2
upsets 1
uss 1
valencia 3
various 1
video 1
voice 1
wanting 1
wants 1
warehouse 1
warned 1
was 1
way 2
wealthiest 1
weapon 1
well 2
were 1
when 6
where 4
which 8
who 9
will 1
wing 1
with 12
world 1
worlds 1
