7501701
/m/0263mym
/m/0263mym
Margaret Weis
1998-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 2
account 2
also 1
an 1
ancient 1
and 5
appeared 1
archmage 1
as 1
at 1
attain 1
before 1
begins 1
bested 1
book 1
books 1
but 1
by 1
came 1
childhood 1
concludes 1
conflicts 1
day 1
detailed 1
dragonlance 1
explanation 1
eyes 1
fall 1
fistandantilus 1
follows 1
foreshadow 1
from 2
gives 1
golden 1
great 1
he 3
high 1
his 2
hourglass 1
how 2
hungry 1
in 1
is 1
istar 1
legends 1
magic 1
many 1
more 1
much 1
occur 1
of 7
offer 1
often 1
one 2
power 2
progress 1
raistlin 3
school 1
skin 1
somewhat 1
sorcery 1
story 2
test 2
that 3
the 11
things 1
through 1
time 1
to 1
tower 1
trilogy 1
vindictive 1
wayreth 1
why 1
with 2
would 1
