18651559
/m/04gjr0m
/m/04gjr0m
Peter Morwood
1990-02-01
{"/m/06n90": "Science Fiction"}
also 1
alternate 1
an 2
as 1
assist 1
becomes 1
captain 1
changed 1
complicated 1
crisiswracked 1
dekkanar 1
evacuation 2
even 1
experimental 1
explanation 1
facial 1
features 1
federation 1
fire 1
from 1
have 1
he 1
in 2
is 2
james 1
kasak 2
kirk 1
klingon 2
not 1
novel 1
of 2
offers 1
only 1
or 1
ordered 1
over 1
participate 1
personnel 1
planet 2
raise 1
sent 1
shields 1
situation 1
t 1
takes 1
the 7
to 4
via 1
viewpoint 1
warship 1
weapons 1
well 1
when 1
why 1
years 1
