27599410
/m/0c3y51p
/m/0c3y51p
David Guterson
1999
50 1
73 1
a 14
abandoned 1
accident 1
accidentally 1
across 1
after 1
again 1
along 1
alternative 1
although 2
an 1
and 11
approaches 1
areas 1
as 2
aware 1
back 1
be 1
ben 1
black 1
born 1
both 1
bought 1
boy 1
brittany 1
brother 1
bus 1
but 1
by 2
cancer 3
car 2
cardiothoracic 1
climactic 1
climbing 1
colon 1
combination 1
combined 1
commit 1
consists 1
continue 1
crashes 1
current 1
daughter 1
death 2
decides 1
deciding 1
desert 1
destination 1
diagnosed 1
does 1
dogs 1
dr 3
drawnout 1
driver 1
during 2
east 2
effect 1
en 1
end 1
enough 1
experiences 2
eye 1
family 3
father 3
fence 1
finally 1
for 2
forced 1
from 4
gains 1
givens 3
grandson 1
greyhound 1
gun 1
has 4
haunted 1
he 14
heading 1
him 1
himself 2
his 20
hitchhiking 1
home 1
however 2
hunted 1
hunting 3
in 3
injury 1
intention 1
is 6
it 3
journey 1
know 1
last 1
late 1
left 1
life 2
lift 1
like 1
long 2
look 1
lorry 1
losses 1
made 1
make 2
means 1
met 1
mode 1
mountains 1
mourning 1
nearing 1
not 1
occasional 1
occurred 1
of 9
off 1
old 2
one 1
only 2
orchard 1
over 1
pain 1
people 1
plan 1
planned 1
primarily 1
rachel 2
real 1
recently 1
reject 1
rental 1
retired 1
rex 1
rifle 1
route 1
saving 1
seattle 1
set 1
shooting 1
soldier 1
some 1
staging 1
state 1
still 2
suicide 1
surgeon 1
sustained 1
swollen 1
taking 1
terminal 1
that 1
the 13
this 1
through 2
thus 1
to 6
towards 1
transportation 1
trip 3
trips 1
tristan 1
two 1
undergone 1
unfortunate 1
up 1
upon 1
uses 1
walk 1
war 2
was 2
washington 1
way 1
where 1
which 1
whilst 1
widower 1
wife 1
will 1
winchester 1
with 5
without 1
year 1
years 1
