5713970
/m/0f0r9x
/m/0f0r9x
Sarah Dessen
1998-05-01
2 1
a 14
abortion 2
about 12
accepts 1
accident 1
after 3
against 2
ahead 1
all 4
alone 1
along 1
also 2
although 1
an 2
and 56
angry 2
announcement 1
appear 1
appointment 1
are 5
argument 1
around 1
as 5
asking 3
asks 2
assumes 1
at 8
attic 1
away 1
baby 1
back 2
bathroom 3
be 5
because 5
become 1
becomes 1
been 1
before 2
beginning 1
best 1
birth 2
birthday 1
bit 1
book 1
books 1
both 2
boy 1
boyfriend 1
breaks 2
brings 1
broke 1
bugging 1
bumps 1
busy 1
but 6
by 5
call 1
calls 2
calmed 1
cameron 1
camp 1
can 1
cant 1
car 2
casually 1
changes 1
changing 1
chapters 1
cheating 1
cheerleader 1
chore 1
claims 1
class 2
clear 1
clearly 1
clinic 1
come 3
comes 3
coming 1
compromise 1
constantly 1
convince 1
could 1
counselors 1
crush 1
cutting 1
dating 2
day 6
death 1
decide 1
decides 2
declines 1
deserve 1
despite 1
develops 1
did 1
didnt 2
difficulties 1
dinner 1
directly 1
disappointed 1
disaster 1
dislikes 1
distant 1
do 2
does 2
doesnt 1
doing 1
down 3
dress 1
drive 1
driving 2
drops 1
drunk 2
elizabeth 7
emergency 1
enlists 1
enough 1
eve 1
even 1
eventually 1
everyone 4
everything 1
exboyfriend 1
explains 1
fails 1
family 2
familyfriend 1
fascinates 1
father 1
faulkner 1
feeling 1
feels 2
fight 1
finds 3
first 1
focused 1
for 2
forbidden 1
forced 1
forever 1
former 1
friend 2
friendliness 1
friends 1
from 5
funeral 1
furious 1
get 4
gets 6
giant 1
ginny 2
girl 1
girlfriend 1
go 3
goes 3
going 2
gone 1
grace 2
grounded 1
growing 1
guidance 1
gunderson 3
had 2
halley 35
hand 1
happen 1
happened 2
happiness 1
happy 1
hard 1
harder 1
has 7
have 4
having 3
he 16
heart 1
heavily 1
help 2
helped 1
helps 1
her 49
him 9
hints 1
his 5
holds 1
home 6
hospital 4
host 1
houses 1
how 2
i 1
ill 1
in 9
injured 1
interrupted 1
into 7
is 23
isnt 2
it 12
jedi 1
job 1
jobs 1
jokes 1
just 3
keep 2
keeps 1
kisses 1
kitchen 1
knew 1
know 1
knowing 1
labor 1
last 1
later 4
lawn 3
leading 1
leave 1
leaves 2
leaving 1
left 1
life 1
lifestyle 2
lift 1
live 1
lot 1
love 2
loves 1
macon 20
major 2
make 1
makes 1
market 1
mentions 1
met 1
michael 5
milton 1
mind 1
misunderstanding 1
mom 1
mother 14
mow 1
mower 1
mowing 2
names 1
nerdy 1
never 1
new 3
next 4
no 1
noah 3
nosy 1
not 3
now 2
of 10
offer 2
office 1
on 12
one 1
only 2
opposite 1
other 1
out 8
overhears 1
parts 1
party 5
passionately 1
pe 1
phone 1
pick 1
picked 1
pleases 1
porch 1
pregnancy 3
pressures 1
proceed 1
prom 3
promgoers 1
pulls 1
put 1
quarry 1
quiet 1
raining 1
ready 1
realizes 1
really 2
recently 1
relationship 1
replaced 1
restrictions 1
ride 1
rips 1
road 1
room 2
says 1
scarlett 22
schedule 1
school 3
secretive 1
secrets 1
see 2
seeing 2
seems 1
sees 1
sent 1
seriously 1
sex 2
she 28
sherwood 1
shout 1
shouting 1
show 1
sisterhood 1
sit 1
sneaks 1
so 2
someone 1
sort 2
speaking 1
split 1
start 1
started 1
starts 2
states 1
still 1
strikes 1
sudden 1
summer 2
supposed 1
surprised 1
tabor 1
take 1
taken 1
takes 1
taking 1
talking 2
talks 1
teaches 1
tell 1
telling 1
tells 5
terms 1
that 6
the 49
them 5
then 8
there 2
they 16
thinking 1
thinks 1
this 1
thomas 2
though 2
thought 1
three 1
through 1
throughout 1
throws 2
tightly 1
to 41
together 2
too 1
transport 1
trick 1
tries 1
truth 1
try 2
turns 3
understanding 1
unhappy 1
unpredictable 1
up 10
upset 2
used 1
vacation 1
vaughn 2
very 2
visit 1
waiting 1
walk 1
walking 1
want 1
was 5
watch 1
watching 1
weeks 1
what 3
when 5
where 3
which 4
while 2
who 8
wild 1
will 2
window 3
with 16
working 1
wrong 1
year 1
you 1
