878757
/m/03l2qd
/m/03l2qd
Barbara Kingsolver
1998
10s 1
160s 1
a 6
adah 2
adapts 1
african 1
after 2
alternates 1
among 1
anatole 1
and 6
appear 1
are 1
as 3
at 3
attending 1
axelroot 1
become 1
begins 1
beings 1
boys 1
brazzaville 1
but 2
changes 1
chapter 1
close 1
coast 1
college 1
complex 1
congo 2
congolese 1
culture 2
daughters 2
daughtersmdashdo 1
death 2
different 1
differently 1
each 1
eldest 1
ending 1
enjoying 1
experimental 1
eyes 1
family 2
father 1
first 1
five 1
fleshedout 1
folly 1
for 1
four 3
full 1
fully 1
futures 1
georgian 1
girls 2
growing 1
has 1
he 1
her 1
herself 1
his 2
hotel 1
human 1
immersed 1
impoverished 1
in 6
increasingly 1
into 1
introductory 1
is 2
lack 1
large 1
later 1
leah 2
leave 2
legs 1
lengthy 1
life 2
luxury 1
marriages 1
marries 2
mature 2
medical 1
misfortunesmdashculminating 1
misogyny 1
mobutu 1
more 1
most 1
mother 1
narrates 1
narrative 1
nathan 3
novel 2
now 1
occasional 1
of 12
on 1
one 2
only 1
orleanna 3
out 1
outspoken 1
overtakes 1
owner 1
paths 1
political 1
preference 1
price 2
rachel 1
refuses 1
remains 1
responsiveness 1
restores 1
returns 2
ridiculous 1
savages 1
school 1
sections 1
seen 1
seko 1
series 1
sese 1
seven 1
seventeen 1
she 2
since 1
slight 1
sophisticated 1
speak 1
spending 1
states 1
survivors 1
take 1
that 2
the 29
their 3
then 1
they 1
this 1
through 1
time 1
to 9
treatment 1
turmoil 1
two 1
undergoes 1
united 1
use 1
view 1
village 1
villagers 2
visits 1
voice 1
wears 1
welcome 1
what 1
with 2
women 1
