181163
/m/018rh_
/m/018rh_
Terry Pratchett
1998
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 28
able 1
about 1
accident 1
actually 1
after 3
again 1
all 1
allowing 1
almost 1
along 1
also 1
an 2
and 29
animals 1
ankhmorpork 1
anomaly 1
any 2
anyone 1
apart 1
apparently 1
archancellor 1
archivist 1
are 7
around 1
arrested 1
arrives 1
as 11
assistance 1
at 2
attack 1
attempt 2
attempting 1
attempts 1
australian 3
away 1
back 5
ballad 1
bathroom 1
be 1
because 1
become 2
becoming 1
been 1
beer 2
beetles 1
before 1
begins 2
being 2
believed 1
bicker 1
billabonga 1
bit 1
boat 2
body 1
book 1
books 1
boy 1
break 1
breakfast 1
brewery 3
bring 2
brings 1
brought 2
bugarup 2
built 1
bullroarer 4
bursar 1
bushranger 1
but 4
by 10
can 1
cannot 1
care 1
catches 1
catching 1
caught 1
causes 2
causing 2
cave 2
ceiling 1
cell 1
chair 1
check 1
chicken 1
circular 1
closely 1
closes 1
cockroach 1
collapse 1
common 1
completely 1
concept 1
considered 1
continent 5
corks 1
create 2
created 1
creating 2
creator 7
creatures 1
cruel 1
cure 2
darleen 1
dean 1
decides 2
destiny 1
destroyed 1
did 1
dinosaur 1
disc 1
discovered 1
discovers 1
do 1
doesnt 1
door 2
drawing 1
drought 2
duckbilled 1
due 1
earthquake 1
egregious 1
else 1
emerge 1
encounter 1
encourage 1
ends 3
enjoyed 1
enthusiastic 1
eonslong 1
escape 4
escaped 1
escapee 1
eternal 1
ethereal 1
even 1
events 3
eventually 2
every 1
evidence 1
evolution 1
evolve 2
evolves 1
example 1
excited 1
explain 1
explains 2
eyes 1
fact 1
famous 1
farther 1
faster 1
fated 1
female 2
figures 1
find 8
finding 1
finds 1
finished 1
fixated 1
flat 1
flies 2
fly 1
folk 1
for 7
found 1
fourecks 6
free 1
from 7
front 2
frozen 2
gaol 1
geography 1
gigantic 1
go 1
god 5
going 2
group 1
has 2
hat 2
have 2
having 2
haywire 1
he 17
head 1
help 1
helps 1
heroes 1
hidden 1
him 9
himself 1
hinges 2
hinted 1
his 9
holding 1
hoping 1
hostile 1
how 1
however 1
human 1
humans 1
icons 1
idea 1
idly 1
ie 1
immediately 1
impersonators 1
impressionistic 1
in 21
inadvertently 2
incorporate 1
indefinite 1
induced 1
inside 2
interesting 1
interrogate 1
into 4
inventing 1
invents 1
is 15
island 2
it 9
its 1
kangaroo 1
keep 1
kept 1
know 1
knowing 1
ladies 1
large 1
last 1
leading 1
leads 1
leave 2
leaving 1
lecturer 2
left 2
letitia 1
lets 1
librarian 6
library 2
lift 1
load 1
luggage 2
made 2
magic 1
magical 4
magically 1
maid 1
malady 1
man 1
matilda 1
meaning 1
meanwhile 2
meet 1
meets 2
message 1
miscalculation 1
more 2
mrs 2
much 1
mustrum 1
name 2
named 1
native 1
near 1
ned 1
needs 2
neilette 2
nellie 1
never 1
no 1
not 4
object 1
of 36
off 3
office 1
old 2
on 9
once 1
opens 1
orangutan 1
order 1
out 4
outback 1
outlines 1
outside 1
over 2
paintings 2
parody 1
past 2
peace 1
peach 1
people 1
picture 1
plant 1
plantbased 1
plants 3
platypus 1
ponder 4
present 1
prevents 1
previous 1
primary 1
process 2
professor 4
project 1
provisions 1
purpose 1
putting 1
question 2
rain 4
rapidly 1
rather 2
reach 1
real 1
reason 1
recent 2
redesign 1
reference 1
regard 1
reproduction 1
rescues 1
return 1
ridcully 1
rincewind 15
round 1
run 1
runes 2
runs 1
sack 1
saved 1
says 1
scrappy 4
secret 1
see 1
seeds 1
seek 1
seemed 1
senior 2
sent 1
several 1
sexual 1
sheep 3
ship 2
ships 1
should 1
shown 1
sign 1
since 2
sitting 1
sneezes 1
so 1
song 1
soon 4
soupvegemite 1
space 2
spins 1
start 1
stay 1
stealing 1
steals 1
stereotype 1
stibbons 1
stopping 1
storm 1
story 2
stray 1
string 1
studies 1
study 1
subject 1
subsequently 1
such 1
suggest 1
suit 2
surrounding 1
surroundings 1
taken 1
taller 1
technique 1
telling 1
than 4
that 12
the 116
theft 1
their 4
them 4
then 5
there 1
they 7
thieves 1
things 2
thirty 1
thousand 1
thousands 2
time 3
times 1
tinhead 1
to 38
towards 1
tower 1
transform 1
transported 1
trapped 2
trapping 1
tropical 1
true 1
trying 1
turn 2
turns 2
twirls 1
unaware 1
understand 1
unfinished 1
university 3
unseen 2
unsuccessful 1
until 2
unusual 1
up 7
used 1
voice 1
waltzing 1
was 3
watch 1
way 3
weeks 1
well 1
were 1
wet 1
when 5
whenever 1
where 1
which 6
while 2
whitlow 2
who 3
will 1
window 2
with 7
without 1
wizards 19
worked 1
world 1
would 2
wrangler 1
wrongfully 1
xxxx 2
years 4
young 1
