9046472
/m/027vrsj
/m/027vrsj
Dean Koontz
2007-05-29
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery"}
10000 2
a 19
about 5
access 1
accidentally 1
accused 1
across 1
actually 1
afterwards 1
again 2
agent 2
agents 2
ahead 1
aide 2
almost 1
american 3
an 4
and 30
another 1
any 1
anything 1
apart 1
apologizes 1
appears 1
are 1
arrests 1
arrives 1
as 8
asks 2
at 2
away 1
background 1
bar 1
barely 1
be 3
became 1
because 1
become 2
been 1
beer 1
before 3
begin 2
begins 1
being 3
bluff 1
both 1
buddy 1
but 2
by 2
call 1
calls 2
cancelling 1
car 2
carrier 1
catching 1
causing 1
cell 1
chase 1
chasing 1
childhood 1
civilians 1
clean 2
clear 1
client 1
coming 1
committing 1
confesses 1
confidentpsychotic 1
conspiracy 3
containing 1
continues 1
cop 1
covertly 3
crimes 1
current 1
customers 2
daughter 1
detective 1
deterred 1
develop 1
die 1
down 1
driving 1
during 2
earlier 1
ends 1
enter 1
envelope 1
eventually 1
ever 1
everyone 1
experiences 1
explains 1
falling 1
far 1
fbi 1
fearful 1
fee 1
feelings 1
finally 1
financial 1
flees 1
foil 1
follows 1
for 7
former 1
from 3
giving 1
go 1
goes 1
government 2
gps 1
group 1
had 4
half 1
hands 1
happened 1
has 1
haunting 1
having 1
he 6
her 4
him 4
his 6
hit 1
hitman 6
home 1
homicide 1
honor 1
horrific 1
house 3
housethe 1
however 1
if 1
implied 1
implying 2
in 4
including 1
increasingly 1
inside 1
insiders 1
instead 1
intended 1
is 7
isnt 1
it 2
jail 1
just 1
kidnaps 1
kill 2
killed 1
killer 9
know 1
known 2
knows 1
later 2
lead 2
leaving 1
lets 1
light 1
like 1
linda 11
look 1
loved 1
lunch 1
made 1
makes 1
manage 1
manages 2
marine 2
marrying 1
mason 1
medal 1
member 2
mess 1
mistaken 1
mom 3
moments 1
more 1
much 1
multiple 1
murdersuicide 1
named 1
neighbor 1
next 1
nokill 1
numerous 1
of 18
off 1
old 1
on 3
one 3
organization 3
outside 1
over 2
owner 1
paquette 2
parents 2
part 1
pete 4
phones 2
photo 1
pictures 3
places 1
plates 1
plus 1
police 1
politely 1
politician 3
popular 1
powerful 1
preschool 1
president 2
pretending 1
proceeds 1
ptsd 1
raid 1
real 1
recognized 1
regular 2
relationship 1
restaurant 2
reveals 1
roofmounted 1
rush 1
save 1
saving 1
say 1
saying 1
second 1
see 1
sent 1
separated 1
set 1
several 1
sexual 1
shadowy 2
shocked 1
shows 1
snapped 1
so 1
someone 1
soon 1
spirit 1
stay 1
step 1
still 1
stonemason 1
story 2
stranger 1
street 1
students 1
suffering 1
suicides 1
supremely 1
surfaced 1
suspect 2
suspicious 1
take 1
takes 1
talked 1
teachers 1
terrorist 5
than 1
that 8
the 49
their 2
them 4
then 1
there 1
they 3
theyre 1
this 1
thoroughness 1
thoughts 1
tim 24
time 1
timothy 1
tires 1
to 23
top 1
trace 1
tracking 1
tracks 1
trade 1
transactions 1
trouble 1
two 1
unassuming 1
unjustly 1
unlimited 1
unstable 1
up 3
very 1
victim 1
video 1
videotape 1
was 3
website 1
were 3
what 2
when 1
while 3
who 5
winning 1
with 3
working 2
would 3
writer 1
years 1
