5384586
/m/0djg4h
/m/0djg4h
Ian Rankin
1995-09-14
a 12
about 1
acquaintances 1
after 2
among 1
an 1
and 11
any 1
are 2
as 1
attacked 1
back 1
becoming 1
been 2
being 1
body 1
brother 3
bugged 1
but 1
by 3
call 1
car 2
case 2
chemical 1
clearing 1
colleague 1
collect 1
connected 1
connects 1
corporation 4
dead 1
death 1
deaths 1
decides 2
deliberately 1
determines 1
diego 2
enemy 1
england 1
enmity 1
europe 1
eventually 1
evidence 2
final 2
find 2
finds 3
follow 2
for 2
former 1
found 1
france 1
from 3
gordon 8
group 1
gun 1
hand 1
has 2
he 6
hidden 1
him 3
himself 1
hints 1
his 12
history 1
home 2
hopefully 1
hours 1
identify 1
in 11
infiltrates 1
informing 1
inside 1
interestingly 1
international 1
investigating 1
investigation 2
is 1
jay 4
jim 8
journalist 2
journalistic 1
killers 1
kills 1
lead 1
leading 1
leads 1
learns 1
leaving 1
locate 1
locked 1
london 1
long 1
manages 1
material 1
member 1
more 6
multinational 2
multiple 1
murdered 1
name 1
no 1
of 3
on 2
order 1
orders 1
out 2
own 2
parties 1
phone 1
police 2
professional 1
professionals 1
realises 1
receives 1
reeve 1
relative 1
reluctant 1
renegade 1
represented 1
resulting 1
retracing 1
return 1
returning 1
returns 1
san 2
sas 2
scotland 2
sending 1
showdown 1
soldier 1
somehow 1
son 2
soon 1
sources 1
still 1
surveillance 1
take 1
target 1
team 1
than 1
that 4
the 12
their 1
then 1
there 1
they 1
to 17
trail 1
traveling 1
travels 1
two 1
under 2
usa 2
was 1
where 2
while 1
wife 2
with 2
work 1
