23539638
/m/06w6kyl
/m/06w6kyl
David Weber
2009-06
{"/m/06n90": "Science Fiction"}
15 1
a 19
able 1
aboard 2
about 4
accept 2
accepts 2
accompanied 1
actions 1
addition 1
admiral 1
advanced 1
after 1
again 1
against 3
agents 3
alert 1
all 1
allowing 1
ally 1
alone 1
along 3
also 2
an 1
and 36
anything 1
are 4
army 3
arrive 1
arrived 1
artillery 1
as 8
assassinate 1
assassinated 1
assistance 1
asunder 1
at 5
attempt 1
attempts 1
away 1
barely 1
be 2
become 1
been 2
before 1
begin 1
behind 1
being 1
betrayed 1
between 1
bide 1
bigger 1
blame 1
blowing 1
board 1
bog 1
both 1
bound 1
bring 1
building 1
but 2
by 5
campaign 2
can 1
capital 2
case 1
causes 1
cayleb 18
challenge 1
chancellor 1
charis 4
charisian 3
charisians 3
chief 1
children 1
chisholm 1
church 3
circle 2
cities 1
city 2
claim 1
clyntahn 4
coast 1
combat 1
come 1
commander 1
commanders 1
communicator 1
conclusion 1
conquered 1
conspiracy 2
consternation 1
construction 1
contact 1
contain 1
corinsande 1
coris 1
corisande 5
corisandian 4
corisandians 1
corruption 1
council 1
cover 1
dare 1
daughter 1
daykyn 1
deal 2
decides 1
deciding 1
declared 1
delferahk 1
demands 1
demolishing 1
despite 1
directly 1
disaster 1
do 3
down 2
duchy 1
due 1
duke 1
each 1
earl 1
eldest 1
elite 1
emperor 2
empress 1
ends 1
events 1
evidence 1
execution 2
explanation 1
face 1
fail 1
fails 1
fairly 1
families 1
far 1
father 1
fearful 1
fearing 1
ferayd 5
few 1
fiery 1
find 1
findings 1
first 2
fleet 2
flies 1
focused 1
following 1
for 15
force 2
forced 1
forces 2
foregone 1
four 3
from 2
furious 2
galleons 1
galleys 1
gathering 1
generous 1
gives 1
graivyr 1
grand 2
great 1
group 4
guardsman 2
hand 1
happens 1
has 4
have 2
he 11
hearing 1
heir 1
hektor 8
help 1
her 5
him 1
his 19
holy 3
hopeless 1
however 4
immediately 1
impending 1
important 1
imposes 1
impotent 1
in 20
indeed 1
infected 1
inner 1
inquiry 1
inquisition 2
inquisitor 2
intelligence 1
internal 1
involved 1
involving 1
is 16
island 1
issued 1
it 1
its 1
itself 1
just 1
know 1
land 1
lands 1
last 1
leadership 1
league 1
leave 1
leaving 1
lengthier 1
life 1
little 2
lookout 2
lookouts 1
loyalists 1
lying 1
made 2
manage 3
manages 3
manchyr 2
many 1
massacre 2
meanwhile 1
meet 2
members 2
merlin 3
military 1
moment 2
monastery 1
money 1
more 2
most 2
motherinlaw 1
mountain 2
move 1
muchlarger 1
nahrmahn 1
naming 1
nature 1
naval 1
navy 1
new 1
nobles 1
not 2
notice 1
notify 1
now 2
obsolete 1
of 32
off 1
on 2
once 1
one 2
only 1
opinion 1
opportune 1
opposition 1
order 1
orders 4
other 2
out 1
outflank 1
over 1
overwhelm 1
pass 2
peaceful 1
penance 1
point 1
points 2
popular 1
port 1
portion 1
position 1
positions 1
possible 1
power 2
prepare 1
prepared 1
preparing 1
prideful 1
priest 1
priests 1
prince 4
princedom 1
prominent 1
promises 1
protecting 1
provides 1
public 2
punishment 1
puppet 1
quietly 1
realize 1
received 1
recon 1
records 1
reformers 2
regency 1
relatives 1
rent 1
reports 1
resistance 1
rest 1
retreat 2
retribution 1
returns 1
reveal 1
rifleman 1
rifles 1
rock 1
rulers 1
rush 1
ruthless 1
sail 1
sails 2
same 2
save 2
scandal 1
schism 1
scoutsnipers 1
secular 1
seize 1
sending 1
senior 1
sets 2
sharleyan 5
she 2
ship 1
significant 1
since 1
skimmer 1
snarcs 1
so 2
son 4
speech 1
spiritual 1
stay 1
stop 1
story 1
strap 1
styvyn 1
subjects 1
superior 1
supposed 1
surviving 1
task 1
technology 1
tell 1
temple 3
terms 2
than 1
that 10
the 74
their 5
them 4
then 2
there 1
these 1
they 5
theyve 1
things 2
this 2
those 1
though 2
throne 1
time 6
to 47
together 1
touch 1
trap 1
treat 1
troops 4
true 1
truth 2
trying 1
trynair 4
turn 3
two 1
uncle 1
under 2
units 1
unlikely 1
up 2
upon 1
use 2
using 1
vanquished 1
vassal 1
very 1
vicar 1
vicarite 1
victory 1
visit 1
visits 1
voiced 1
voyage 1
waiting 1
want 1
war 3
was 1
wasted 1
way 2
weapons 1
well 1
what 1
where 1
which 6
while 5
who 8
whose 2
will 1
willingly 1
willingness 1
wish 1
with 20
within 2
without 1
working 1
would 1
years 1
younger 2
zahmsyn 1
zealous 1
zebediah 1
zhaspahr 1
zion 1
