5513825
/m/0dq9p7
/m/0dq9p7
David Gemmell

200 2
300 1
a 15
about 1
absorb 1
across 1
after 2
alive 1
all 4
allowed 1
almec 4
almecs 5
almeia 2
an 4
and 22
anu 6
appeared 1
are 15
armies 1
army 1
around 1
arrival 1
arrived 1
as 10
assassins 1
attempts 1
avatar 18
avatars 15
avoid 1
back 1
be 3
beam 1
becomes 1
been 1
begins 1
behalf 1
behind 1
being 1
believe 1
besiege 1
between 1
blood 1
blunt 1
bolts 1
both 1
bow 1
bring 1
bringing 1
but 5
by 10
called 1
calls 1
cannot 1
capital 2
cascoatl 1
changes 1
chant 1
charge 1
charging 1
chests 4
cities 2
city 4
claims 1
clustered 1
comes 1
complete 1
construction 1
continent 1
continued 1
convinced 1
costly 1
council 3
courteously 1
covered 1
creating 1
crystal 6
crystaldrawn 1
crystals 6
daughter 1
day 1
death 1
deaths 1
decides 1
decisions 1
defeat 1
defend 1
destroy 3
destroyed 1
devastation 1
die 1
discovers 1
discuss 1
disobeyed 1
distraught 1
doing 1
down 2
drawing 1
du 1
dying 1
easier 1
egaru 3
empire 3
end 1
endangered 1
energy 1
equivalent 1
escaped 1
even 1
eventually 1
expedition 1
extinction 1
fading 1
fails 1
fall 3
falling 1
fast 1
feed 1
females 1
few 1
field 1
fight 3
for 4
force 2
foreign 1
foresaw 1
four 1
fragile 1
frlcho 1
from 2
gained 1
gather 1
general 2
giant 1
give 1
gives 1
gods 1
grand 1
grant 1
great 3
greater 1
greeted 1
group 5
guaranteed 1
half 2
hall 1
hand 1
have 1
headed 2
healthy 1
help 1
her 4
himself 1
his 2
holy 3
hoping 1
however 5
humans 2
ice 1
immediately 1
immortal 2
immortality 2
in 10
infinitely 1
influence 1
into 2
invaders 1
is 8
it 1
keep 1
kill 1
killed 2
killing 1
king 1
kings 1
known 4
land 1
largely 2
laser 1
laws 1
leader 2
leaders 1
leadership 1
leads 1
learn 1
led 1
life 1
like 1
line 1
link 1
live 1
lived 1
living 1
long 1
love 1
made 1
magic 2
males 1
manage 1
managed 1
many 2
meaning 1
mejana 3
members 1
men 2
message 1
mobilize 1
moons 1
motivated 1
move 3
moved 1
moves 1
mud 2
new 1
next 1
nomad 1
north 1
not 1
now 2
obvious 1
of 35
off 1
officers 1
on 2
one 5
only 1
or 1
order 2
ordered 1
orders 1
other 3
out 3
outside 1
over 3
own 1
pagaru 1
pajists 3
parapolis 2
partly 1
people 2
plasma 1
poor 1
population 1
position 1
power 9
predicted 1
prepare 1
previous 1
primary 1
problems 1
proposes 1
protect 1
purpose 2
pyramid 3
queen 4
questor 4
race 2
rael 1
reaches 1
real 1
realize 1
rebellion 1
recharge 2
refusing 1
rely 1
remaining 3
repair 1
ride 1
rule 1
ruled 1
rulers 1
run 1
ruthless 1
sail 1
same 1
save 1
seas 1
secret 1
see 1
serpent 1
set 2
seven 1
several 1
she 2
ship 1
ships 1
shoots 1
side 1
sides 2
siege 2
sink 1
six 1
sky 1
slaughtered 2
so 2
society 2
source 1
species 2
spiritual 1
starting 1
story 1
subjects 1
subsequently 1
succeed 2
sucked 1
sunfire 1
suns 1
supposedly 1
surrounds 1
survive 1
survived 1
swarmed 1
teleporting 1
terror 1
than 1
that 3
the 120
their 13
them 4
themselves 1
then 1
there 1
they 14
things 1
thinking 1
thirst 1
this 4
though 1
ties 1
time 1
title 1
to 26
together 2
town 1
travelled 1
treasures 1
tribes 1
truce 1
true 1
turned 1
two 2
underlings 1
undying 1
united 1
universe 1
upon 1
upside 1
upturned 1
used 1
using 1
vagar 4
vagars 3
waning 1
war 1
warrior 1
warriors 1
was 8
way 1
weapons 3
well 1
were 3
when 4
where 1
which 5
who 8
whose 1
will 5
winnable 1
with 8
within 1
woman 1
world 7
zhibow 2
