5247519
/m/0d9t_l
/m/0d9t_l
Ruth Rendell
1993-09-02
100 1
a 7
about 2
adrift 1
affair 1
age 2
almost 1
alone 1
although 1
and 3
as 1
be 1
because 1
been 1
big 1
bus 1
by 1
cash 1
cast 1
child 1
come 1
country 1
described 1
destructive 1
enclosed 1
eve 2
evil 1
first 1
from 1
gatehouse 1
gradually 1
has 5
he 1
her 7
herself 1
him 1
home 1
house 1
however 1
in 3
is 6
kept 1
killed 1
knowledge 1
learns 1
leave 1
life 1
liza 4
love 1
man 2
mansion 1
may 1
mother 4
murderous 1
must 2
never 2
no 1
not 2
of 5
on 1
one 1
or 1
over 1
own 1
particular 1
played 1
possibility 1
present 1
remote 1
secret 1
seventeen 1
she 5
strange 1
tells 1
terms 1
terrified 1
that 2
the 6
their 2
there 1
to 1
together 1
train 1
violence 1
when 1
who 1
with 5
worked 1
world 2
years 1
young 1
