2904605
/m/08bl7b
/m/08bl7b
Arthur Ransome
1932
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
a 13
aboard 2
about 1
across 1
adrift 1
adult 1
ago 1
all 1
along 1
also 1
amazons 3
an 2
anchorage 1
and 17
are 4
arrives 2
as 1
ashore 2
at 1
atlantic 1
attempt 1
attempts 1
away 1
back 1
be 1
been 1
before 1
being 1
bideford 1
bill 3
black 4
blacketts 1
blocked 2
blows 1
board 1
box 1
boy 1
buried 1
but 2
by 2
cabin 1
camp 1
cannot 1
captain 5
captured 1
caribbean 1
cat 6
catching 1
cats 1
channel 1
children 2
collection 1
come 2
continue 1
crab 1
crew 3
cross 1
cruise 2
days 1
decide 1
desert 1
destroys 1
dies 1
down 1
duck 8
during 1
earthquake 1
elderly 1
end 1
english 1
exposes 1
fallen 2
false 1
find 1
fitting 1
flint 4
fog 1
follow 1
fool 1
for 4
from 1
further 1
give 1
go 1
harbour 1
has 1
he 1
help 1
her 2
home 1
however 1
hurricane 1
in 6
incident 1
interests 1
is 5
island 4
jake 3
jim 1
just 1
land 2
landslides 1
larger 1
leaving 1
like 1
long 1
look 1
looks 1
lowestoft 1
marooned 1
night 1
ocean 1
of 3
off 1
offers 1
on 1
one 1
other 2
out 3
palm 1
paths 1
pearls 1
peter 8
pick 2
point 1
preparing 1
presence 1
proves 1
quick 1
recover 1
rescue 2
return 1
returns 1
ride 1
round 1
route 1
safely 1
sail 2
sails 2
sam 1
saved 1
saw 1
schooner 3
sea 2
seaman 1
searching 1
set 1
several 1
side 1
signals 1
slip 1
small 1
so 1
spend 1
spins 1
storm 2
swallows 3
take 1
that 1
the 45
them 1
then 1
there 1
they 6
threatened 1
threatening 1
to 18
trails 1
treasure 5
treasurehunters 1
tree 1
trees 1
try 1
turner 1
uncle 1
unfortunately 1
until 1
up 3
vain 1
viper 7
vipers 2
voyage 1
wants 1
waterspout 1
when 5
where 1
which 3
while 1
who 1
wild 7
wind 1
with 2
without 1
yarn 1
