4963176
/m/0cxcb_
/m/0cxcb_
John Bellairs

{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
about 1
alignment 1
an 1
and 6
announces 1
apart 1
as 1
athletic 1
attempting 1
back 1
barnavelt 2
basement 1
be 1
before 1
befriend 1
begin 1
begins 1
book 1
boy 1
bring 1
bringing 1
builds 1
but 1
by 2
cemetery 1
clock 1
confrontation 1
constructed 1
couple 1
courage 1
dead 1
dedicated 1
demonstrating 1
destroy 1
doomsday 1
drift 1
dying 1
encounters 1
end 1
ends 1
escalating 1
eternally 1
everything 1
evil 1
far 1
fictional 1
final 1
finishing 1
florence 1
found 1
friend 2
from 2
ghost 1
girl 1
good 2
had 1
halloween 1
has 1
he 3
her 3
hid 1
him 1
his 3
house 3
how 1
husband 1
in 3
inside 1
into 1
is 3
isaac 2
it 2
izard 1
jonathan 4
lewis 5
live 1
lives 1
local 2
magic 1
magical 1
manages 1
mediocre 1
michigan 1
more 1
moves 1
must 1
mysterious 1
named 2
neighbor 1
new 2
nextdoor 1
notpopular 1
of 5
on 2
onbut 1
only 1
orphaned 1
out 1
owned 1
permit 1
plotted 1
pottinger 1
powerful 1
prevent 1
previously 1
pull 1
raise 1
recently 1
releasing 1
rita 1
rose 1
selenna 2
series 1
sinister 1
so 1
somewhere 1
soon 1
sorceress 1
still 1
story 1
succeeds 1
summon 1
tarby 2
that 2
the 16
their 1
thin 1
though 1
ticks 1
titular 1
to 12
tomb 1
town 1
tries 1
turns 1
two 1
uncle 1
up 1
walls 1
was 1
wellintentioned 1
when 1
where 2
which 1
while 1
who 2
win 1
witch 1
with 2
wizard 1
work 1
world 2
would 1
zebedee 1
zimmermann 1
