3286247
/m/093dxw
/m/093dxw
Mildred Taylor
1981
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 15
accessible 1
accused 2
acres 1
address 1
all 1
allwhite 1
already 1
although 1
an 1
and 15
approaches 1
are 1
as 1
assumed 1
assuming 1
at 1
attractive 1
avery 1
away 2
barnett 1
be 2
beaten 1
became 1
because 2
before 2
being 1
believes 1
best 1
big 1
black 4
blacks 1
boy 1
broke 1
bud 1
but 3
by 2
can 1
cane 1
care 2
caroline 1
catches 1
children 1
claiming 1
colored 1
contact 1
convicted 1
correct 1
cotton 1
couple 1
cousin 1
daughter 1
death 1
did 1
does 2
drive 1
end 1
everything 1
exonerated 1
eye 1
eyes 1
fair 2
family 3
father 1
field 2
find 1
flirts 1
foot 1
for 2
friend 3
genuinely 1
girls 1
go 1
goes 1
government 1
great 1
hair 1
hard 1
has 2
he 6
help 2
her 5
his 6
home 2
hours 1
house 1
identity 1
if 1
ill 1
in 10
innocent 1
is 9
issues 1
it 4
jail 2
jailed 1
jamison 2
jim 1
join 1
jury 1
kind 1
lady 1
land 1
later 1
lawyer 1
lee 1
letters 3
lied 1
lighter 1
like 1
lives 1
logan 2
logans 1
lose 1
louisiana 1
ma 1
making 1
males 1
mama 2
man 3
mixed 1
moe 3
money 1
months 1
morning 1
mother 1
mr 2
much 1
murdering 1
must 1
name 2
need 1
next 2
night 1
not 2
of 8
on 3
order 1
ordered 1
others 1
over 1
owners 2
papa 1
people 2
plantation 2
planted 2
police 1
poll 1
power 1
pretty 1
prices 1
prize 1
probably 1
pull 1
put 2
raise 1
receive 2
relationships 1
respects 1
respond 2
return 1
rolled 1
run 1
says 1
see 1
seem 1
sentenced 1
seven 1
several 1
sharecroppers 1
she 4
sheriffs 1
skin 1
small 1
so 2
sold 1
some 1
stacey 7
start 3
stations 1
stay 1
stealing 1
still 1
stop 1
strain 1
struggles 1
stuart 2
succeed 1
sugarcane 1
supposed 1
suzella 3
take 1
takes 1
technically 1
thank 1
that 6
the 26
their 2
them 1
there 1
therefore 1
they 13
this 1
through 1
times 1
tj 2
to 15
together 1
told 1
toll 1
too 1
took 1
town 2
towns 1
tried 1
tries 1
trouble 1
trying 1
union 2
up 1
walker 1
wanted 1
was 2
way 1
were 3
when 2
where 1
which 1
while 2
white 6
whites 1
who 5
will 3
with 5
work 1
