19176750
/m/04lf7ql
/m/04lf7ql
Anthony McGowan
2008-04-03
{"/m/03mfnf": "Young adult literature"}
a 9
also 1
and 2
are 1
as 5
at 1
become 1
becomes 1
becoming 1
beginning 1
begins 1
between 3
book 1
by 2
develops 1
different 1
do 1
events 1
fit 1
follows 1
for 1
freaks 3
from 2
gives 1
group 2
groups 2
he 4
him 2
himself 1
his 1
in 3
included 1
influenced 1
into 1
involved 1
is 2
killed 1
knife 2
known 1
lead 1
leading 1
live 1
loner 1
looking 1
me 1
members 1
messenger 1
more 1
not 1
novel 1
of 4
other 1
outside 1
paul 3
relationship 1
rival 1
roth 4
rule 1
school 3
schools 1
series 1
stands 1
teenager 1
that 1
the 14
them 2
they 1
thug 1
to 4
tries 1
two 1
under 1
up 1
uses 1
varderman 1
war 1
way 1
which 2
with 3
