4817522
/m/0cphp1
/m/0cphp1
James White
1963
a 8
ability 1
act 1
after 2
against 1
alien 1
all 1
almost 1
also 1
although 1
an 4
and 14
another 1
appeared 1
are 1
as 1
at 1
attacked 1
attacks 1
back 1
backwards 1
be 2
becomes 1
been 2
best 1
bona 1
bootstraps 1
both 1
brain 1
breaking 1
brink 1
brutal 1
but 1
by 2
called 1
came 1
cannibal 1
casualties 1
cells 1
classification 1
collection 1
commander 1
complete 1
condition 1
controls 1
convince 1
convinced 1
conway 6
corps 1
cultures 1
cure 2
deal 1
death 1
declares 1
defeat 1
demigod 1
dermod 1
diseased 1
do 1
doctor 3
does 1
doing 1
down 1
dr 2
drugs 1
efforts 1
elph 3
empire 5
entity 1
equally 1
etla 3
evacuation 1
extremely 1
failing 1
federation 3
fide 1
focus 1
following 1
from 3
full 1
galaxy 2
general 1
group 1
had 3
have 1
he 2
help 3
helps 1
him 1
his 1
hospital 2
ians 1
immortal 1
in 4
including 1
infamous 1
informed 1
injury 1
intelligent 1
involve 1
is 7
it 8
its 2
itself 2
keep 1
known 1
later 1
leaves 1
lied 1
life 1
location 1
longlived 1
lonvellin 2
make 1
makes 1
may 1
memory 1
microscopic 1
misinterprets 1
mission 1
missions 1
monitor 1
more 1
most 3
must 1
mutiny 1
name 1
negate 1
of 12
on 3
once 1
one 1
or 3
organise 1
organized 1
other 1
out 1
particular 2
patient 3
patients 1
physician 1
physiologyproblems 1
planet 2
planetary 1
powerful 1
practically 1
pulling 1
put 1
quickly 1
rather 1
realizes 1
recovery 1
recruits 1
regarding 1
regularly 1
rejuvenation 1
removed 1
resist 1
save 1
sector 1
seeing 1
senior 2
series 1
skin 1
small 1
soldier 1
soldiers 2
space 1
species 1
staff 2
stake 1
station 2
surgery 1
surviving 1
takes 1
taking 1
than 1
that 4
the 29
their 1
them 2
they 1
this 4
time 2
to 14
told 1
treated 1
treatments 1
trying 1
turned 1
unconscious 2
up 1
uses 1
virustype 1
war 2
way 1
well 1
were 1
what 1
when 1
which 1
who 3
whose 1
with 2
witnessing 1
wooden 1
work 1
young 1
