8327122
/m/026_jfn
/m/026_jfn

2006-10-24
{"/m/0dwly": "Children's literature"}
a 2
all 1
and 3
appearing 1
begin 2
bottom 1
cannot 1
dandelion 3
dandelions 3
fear 1
flowers 2
for 1
from 1
godlike 1
grow 1
her 1
hothouse 6
in 2
into 1
intolerant 1
more 1
native 2
of 2
original 1
outside 2
owner 1
push 1
releases 1
remain 1
removes 1
roots 1
seeds 4
seeing 1
sending 1
sends 1
silent 1
soil 1
stems 1
stop 1
sunlight 1
the 13
their 1
they 1
this 1
to 4
up 1
use 2
water 1
when 1
where 1
who 1
wither 1
