33421521
/m/0h97y4z
/m/0h97y4z
David Anthony Durham

{"/m/01hmnh": "Fantasy"}
a 5
abandoned 1
above 1
acacia 3
across 1
act 1
aid 1
akaran 4
aliver 1
all 3
along 1
also 2
ambiguous 1
an 2
and 4
another 1
arctic 1
are 3
army 1
as 2
auldek 3
back 1
band 1
barad 1
be 1
been 1
book 1
books 1
brae 1
break 1
brought 1
brutal 1
campaign 1
character 1
characters 1
children 1
chronicles 1
coming 1
complexity 1
consequences 1
contact 1
continues 1
corinn 2
culturally 1
dariel 1
daughter 1
deal 2
dealing 1
different 1
dire 1
diverse 1
doesnt 1
down 1
dragged 1
durham 1
each 1
earlier 1
economic 1
ethnically 1
exile 1
fates 1
feature 1
finds 1
first 1
follows 1
for 1
forces 1
fought 1
found 1
from 2
gone 1
has 4
have 3
having 2
her 2
him 1
himself 1
his 1
homeland 1
host 1
however 1
ice 1
imagined 1
in 5
influence 1
into 1
invade 1
invaders 2
invasion 1
is 3
it 1
kelis 1
lands 2
lesser 1
long 1
magic 1
major 1
marching 1
mena 1
minor 1
molded 1
morally 1
mythological 1
needs 1
neptos 1
north 2
notable 1
novel 1
of 7
on 1
one 1
other 2
out 1
person 1
plot 1
pole 1
political 1
population 1
queen 1
quota 1
resolved 1
resurrecting 1
retrieved 1
returns 1
rialus 1
sacred 1
santoth 1
sent 1
series 1
she 1
shen 1
siblings 1
skies 1
slaves 1
small 1
sorcerers 1
spell 1
still 1
struggle 1
that 2
the 25
theater 1
their 2
there 2
they 2
this 2
threads 1
three 1
to 9
trapped 1
turmoil 1
ushen 1
volume 1
war 1
way 1
which 1
wish 1
with 9
worked 1
world 1
