5857386
/m/0f9c0l
/m/0f9c0l
Colin Wilson
1976-03
a 11
ability 1
accept 1
achieved 1
alien 1
aliens 1
alive 1
all 1
allowed 1
also 2
an 2
and 10
animation 1
another 1
appear 1
as 3
asteroid 1
astronauts 1
at 1
attempts 1
averted 1
batlike 1
become 1
beings 1
belt 1
benevolent 1
between 1
body 3
but 3
by 4
call 1
called 1
can 1
captain 1
carlsen 9
castlelike 1
century 2
chance 1
coffins 1
commanded 1
completely 1
confrontation 1
containing 1
corpses 1
course 1
creatures 1
criminality 1
death 1
derelict 1
desiccated 1
destroy 1
device 1
discover 3
discovered 1
discovers 1
down 1
dr 1
draining 2
earth 1
encounters 1
energy 6
energybeings 1
epilogue 1
escaped 2
escaping 1
exists 1
exploration 1
extraordinarily 1
fallada 1
far 1
female 1
fetishization 1
find 1
first 1
for 2
forces 1
friend 1
from 4
generalized 1
giant 1
gigantic 1
glass 1
had 1
hans 1
has 1
have 2
having 1
he 1
her 2
hermes 1
higherdimension 1
him 1
his 3
hospital 1
humanoids 2
humans 1
illicitly 1
immobilized 1
implied 1
in 6
interior 1
intervene 1
investigating 1
investigations 1
is 4
it 1
joins 1
joyfully 1
kills 2
kind 1
lambdafield 1
last 1
late 1
later 1
leader 1
learned 1
left 1
life 1
lifeforce 1
live 1
london 1
long 1
longevity 1
male 1
man 1
measured 1
minister 1
more 1
nature 2
nearby 1
nearly 1
niothkorghai 1
of 11
offer 1
olof 1
one 3
original 2
other 1
out 1
parallels 1
partially 1
possessed 1
possibly 1
potential 1
preserved 2
prevent 1
prime 1
quantifiable 1
race 1
recapture 1
regain 1
regaining 1
reporter 1
representatives 1
researching 1
returning 1
reveals 1
scanners 1
scientist 1
see 1
set 1
sexual 1
son 1
space 1
spacecraft 2
state 1
still 1
suspended 1
techniques 1
that 4
the 31
their 4
them 1
themselves 3
then 2
they 4
three 2
to 10
tracks 1
transcendence 1
transfer 2
transference 1
true 1
twentyfirst 1
two 2
ubbosathla 1
unable 1
upon 2
used 1
vampire 1
vampires 5
vampirism 3
vehicle 1
via 1
victim 1
view 1
voluntary 1
well 1
what 1
when 3
whom 1
with 3
woman 2
young 1
