4595808
/m/0cbqzs
/m/0cbqzs
Bobby Henderson
2006-03-28
{"/m/06nbt": "Satire", "/m/02mdj1": "Religious text", "/m/09kqc": "Humour"}
100000 1
30 1
31 1
5000 1
a 8
accident 1
accidentally 1
according 1
accounts 1
addition 1
address 1
adherence 1
advice 1
afternoons 1
ago 1
along 1
an 2
and 9
are 2
array 1
as 2
ascend 1
back 1
be 3
because 1
been 1
beer 1
before 1
begins 1
behavior 1
belief 1
beliefs 1
believes 1
better 1
between 1
biblical 1
bitter 1
book 3
broad 1
build 1
by 4
cable 1
captain 1
causation 1
caused 1
certain 1
churches 1
claim 1
claimed 1
clumsy 1
commandment 1
commandments 1
commented 1
conclusion 1
conduct 1
considered 1
contains 1
cooking 1
cooler 1
copies 1
correlation 1
cost 1
could 1
created 1
creation 2
creationismelaborating 1
criticisms 1
curing 1
day 1
days 1
decline 1
declining 1
define 1
demonstrate 1
design 1
didnt 1
didnts 3
directly 1
discusses 1
diseases 1
does 1
dont 1
down 1
dress 1
dropped 1
drunken 1
eden 1
eight 1
enables 1
ending 1
equally 1
established 1
event 1
evidence 2
factory 1
first 1
flimsy 1
flood 1
flying 4
following 1
for 5
forgot 1
from 3
further 1
furthermore 1
garden 1
gather 1
generally 1
given 1
global 2
goodness 1
gospel 3
halloween 1
happily 1
has 1
have 2
he 5
heaven 2
henderson 3
his 2
id 4
if 1
imply 1
in 8
includes 1
intelligent 1
invisible 1
is 2
it 3
lampoon 1
land 1
laughable 1
led 1
letter 1
like 2
likely 1
list 1
literalists 1
lived 1
living 1
loving 1
lowering 1
man 2
many 2
meant 1
method 1
midget 1
money 1
monster 4
months 1
moral 1
more 1
mosey 1
mosques 1
most 1
mount 1
multimilliondollar 1
named 1
nights 1
noodly 1
not 1
number 1
numbers 1
nutrition 1
observation 1
october 1
of 13
old 1
olive 1
on 3
one 2
only 1
open 1
organized 1
original 2
parody 1
parodying 1
partly 1
passion 1
pastafarian 1
pastafarianism 1
pastafarianismoften 1
pastafarians 4
peace 1
people 1
pirate 1
pirates 3
poverty 1
precede 1
presents 1
produced 1
proponents 1
provides 1
rather 4
readers 1
reads 1
really 4
received 1
relationship 1
religion 1
religions 1
resulted 1
revered 1
reviewer 1
rise 1
rising 1
salsa 1
same 1
satires 1
saying 1
scientists 1
seas 1
second 1
sexual 1
shopping 1
short 1
shrines 1
sold 1
some 1
spaghetti 4
spent 1
standards 1
states 1
stone 1
stripper 1
support 1
synagogues 1
tablets 1
take 1
temperature 1
temperatures 1
temples 1
ten 3
tenets 1
than 2
that 8
the 30
their 1
then 1
these 1
this 5
those 1
time 2
to 14
try 1
two 1
undetectable 1
universe 1
unorthodox 1
until 1
up 1
urges 1
us 1
uses 1
volcano 1
way 1
website 1
were 1
when 1
which 3
who 2
will 1
with 4
woman 1
would 1
years 1
you 6
your 1
