2453964
/m/07f6xl
/m/07f6xl
Conn Iggulden
2005-01-03
{"/m/0mz2": "Alternate history", "/m/0hwxm": "Historical novel"}
a 9
after 4
alea 1
allow 1
alone 1
amongst 1
and 14
another 1
are 1
army 1
arrives 1
as 4
attacking 1
attempt 1
before 1
begins 1
both 1
britain 1
brutus 1
by 5
caepionis 1
caesar 5
campaign 1
cast 1
challenge 1
city 3
civil 1
clodius 1
conquering 1
consul 3
consuls 1
control 2
crassus 3
crime 1
curia 1
current 1
death 3
debt 1
decision 1
declares 1
defeated 1
defeating 1
depressed 1
deserts 1
desire 1
destroyed 1
dictator 2
die 1
does 1
dominion 1
during 1
each 2
election 1
ends 1
engages 1
est 1
exhausted 1
expanding 1
expeditions 1
fighting 4
final 1
first 2
five 1
for 2
formed 1
forms 1
four 1
friend 1
from 3
fulfilling 1
gallica 1
gangs 1
gaul 2
gauls 1
getting 1
governor 1
governorship 1
guilt 1
has 1
having 1
he 7
heads 1
help 1
him 2
himself 4
his 13
hispania 1
however 1
iacta 1
important 1
in 9
into 3
is 6
italy 1
just 1
kill 1
killed 3
kings 2
latin 1
leaving 1
legion 3
legions 3
levels 1
life 1
likely 1
made 1
make 1
manages 1
marcus 1
master 1
meanwhile 1
mercenary 1
military 2
million 2
milo 1
months 2
most 2
mother 1
must 1
new 1
night 3
northern 1
obtain 1
of 14
old 1
on 3
one 1
only 2
or 1
ordered 1
other 3
outpost 1
over 1
parthia 1
patricians 1
plunge 1
pompey 4
pompeys 1
possibly 1
power 1
promises 1
province 1
rank 1
reawakens 1
rebel 1
return 1
rival 1
riverbanks 1
role 1
roman 2
romance 1
rome 4
rubicon 1
see 1
senators 1
serious 1
servilia 1
serving 1
she 1
six 2
slavery 1
sliding 1
small 1
sold 1
sole 1
soulsearching 1
south 1
spain 2
spartacus 1
still 1
strife 1
survives 1
survivors 1
takes 1
ten 1
tenth 2
term 2
terrorizing 1
the 22
their 1
third 1
this 1
to 8
towards 1
triumvirate 1
two 2
ulterior 1
unbelievable 1
unprecedented 1
utters 1
verge 1
war 1
when 1
where 1
whether 1
while 1
wife 1
will 1
with 9
words 1
world 1
wrest 1
year 1
years 1
yet 1
