11270364
/m/02r5ryd
/m/02r5ryd
Ann Scott
2000-11-19
{"/m/02xlf": "Fiction"}
a 3
all 1
also 1
an 1
and 5
artistic 1
as 1
bands 1
bass 1
be 1
became 1
bisexual 1
bleak 1
borderline 1
character 1
craving 1
crisis 1
deejay 1
designer 1
drugs 1
economically 1
electronic 1
emotionally 1
entering 1
evolving 1
facing 1
fame 1
for 2
glamorous 1
her 1
identity 1
in 2
is 2
just 1
leading 1
lives 1
louise 1
main 1
music 1
novel 1
now 2
of 3
paris 1
parties 1
player 1
portrays 1
producer 1
raves 1
recognition 1
rock 1
roommates 1
set 1
sex 1
she 3
taut 1
techno 1
the 4
thirty 1
this 2
three 1
to 1
trends 1
turned 1
used 1
where 1
wondering 1
working 1
world 1
