7884360
/m/026hjgc
/m/026hjgc
Robin Cook
1995
162 1
a 10
ablaze 1
about 1
acting 1
acts 1
after 1
all 1
ancestor 1
and 4
are 2
armstrong 1
as 1
assembles 1
at 2
attacked 1
baby 1
basement 1
be 3
begin 2
begins 2
being 1
birth 1
book 1
bread 1
brilliant 1
but 1
by 5
calmness 1
casual 1
children 1
claviceps 1
clergy 1
confidence 1
convict 1
convinces 1
covenant 1
deformed 1
despite 1
developing 1
devil 1
direction 1
drive 1
drug 3
during 1
eating 1
edward 6
effects 1
elizabeth 2
enquiries 1
ensuing 1
etc 1
even 1
evidence 5
executed 1
experiencing 1
fall 1
family 2
fetus 2
finally 1
finding 2
finds 1
fortune 1
friend 1
from 1
given 1
great 1
happening 1
happens 1
harvard 1
has 1
help 1
her 5
his 2
home 2
house 3
however 1
hundred 1
husband 2
immediately 2
in 10
increase 1
induces 1
inform 1
inherited 1
insistence 2
introduced 1
is 9
it 1
killing 1
kim 4
kimberly 1
kind 1
later 1
letter 1
lewis 1
locates 1
love 1
makes 1
mather 1
meanwhile 1
mentioned 1
murder 1
mutual 1
mysterious 1
new 2
nurse 1
occurs 1
of 14
old 2
on 4
out 3
pleas 1
point 1
possession 1
prosecuted 1
proves 1
purpurea 1
pursuit 1
researchers 1
reverend 1
rushes 1
rye 1
salem 3
save 1
scientist 1
see 1
sense 1
set 1
sexual 1
she 3
shipbuilder 1
soon 1
stanton 1
stantonto 1
starts 1
stewart 2
stewarta 1
story 1
strain 1
strange 1
strangely 1
suspicions 1
taken 1
taking 2
team 3
teratogenic 1
that 4
the 26
their 1
themselves 1
they 1
things 1
this 2
three 1
time 2
to 7
town 2
trance 1
trials 1
turning 1
turns 1
two 2
university 1
used 1
vandalism 1
visit 1
was 2
wealthy 1
where 1
which 2
who 4
witch 2
with 4
witnesses 1
working 2
years 1
