16341024
/m/03wh7p0
/m/03wh7p0
Elizabeth Laird
2001
a 6
again 2
agree 1
and 9
apprehended 1
are 1
at 3
away 1
be 2
believed 1
believes 1
bestfriend 1
between 1
born 1
boy 1
boyfriend 1
but 2
by 1
can 1
case 2
certain 1
come 1
conference 2
custody 1
danger 1
day 4
daydreams 1
did 1
door 2
dreams 1
duck 1
due 1
each 1
escape 2
every 1
father 3
fighting 1
fluffy 1
following 1
follows 1
for 3
from 4
gave 1
get 2
gets 1
go 1
grabs 1
grandmother 3
having 1
he 8
helps 1
her 1
him 7
his 13
home 1
horrible 1
house 1
however 2
hug 1
immediately 1
in 3
insists 1
intimidate 1
involved 1
is 4
jake 17
judd 3
kieran 2
leave 1
life 1
living 1
manages 2
meanwhile 1
meet 2
meets 1
might 1
mother 6
mrs 3
much 1
never 2
not 1
of 3
on 1
one 3
only 1
opens 1
other 1
out 1
own 1
peaceful 1
person 1
pretend 1
problems 1
protect 1
releases 1
resemblance 1
resulting 1
returns 1
rid 1
room 1
run 1
safe 1
school 3
see 1
seeing 1
she 3
shortcut 1
sick 1
somehow 1
son 2
standing 1
starts 1
steve 6
struggle 2
suddenly 1
takes 1
tall 1
teacher 1
teachers 1
that 3
the 7
they 2
though 1
to 12
too 1
tower 2
until 1
violent 1
want 1
was 2
when 6
where 2
while 1
who 1
will 1
with 1
