5703221
/m/0f0017
/m/0f0017
Glen Duncan
2003-01-06
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 9
about 1
abuses 1
accepted 1
against 1
alcohol 1
also 1
an 3
anagram 1
and 8
angel 1
as 2
attempt 1
author 1
back 1
be 1
being 1
biblical 1
body 4
but 3
by 2
cant 1
chance 1
character 1
choice 1
coming 1
decision 1
declan 1
declans 1
devil 1
devilish 1
direction 1
disparaging 1
do 1
does 1
drugs 1
duncan 1
end 2
episodes 1
for 2
formerly 1
from 2
gain 1
glen 1
god 3
gods 1
going 2
granted 1
gunn 1
he 3
head 1
heaven 1
help 1
him 1
his 3
holiday 1
human 2
i 1
in 8
instead 1
into 1
is 6
it 1
jesus 1
jimmeny 1
life 2
like 1
live 1
lives 2
living 1
london 1
lucifer 7
lucifers 1
main 1
makes 1
month 1
much 2
name 1
no 1
not 2
of 4
offer 1
on 1
only 1
opinions 1
people 1
permeated 1
place 1
please 1
presents 1
raphael 2
realize 1
realizes 1
really 1
rebelling 1
receives 1
redemption 3
right 1
sex 1
simply 1
sinless 1
so 3
somewhat 1
starts 1
still 1
story 2
struggling 1
suicidal 1
takes 4
tells 1
temptation 1
the 8
their 1
there 1
theres 1
they 1
this 1
to 5
trial 2
versions 1
visit 1
wanting 1
what 1
whatever 1
while 1
who 1
whole 1
with 1
world 1
writer 1
