4255235
/m/0bsmqj
/m/0bsmqj
Paul Stewart
2003-09-04
a 17
ability 1
academe 1
academes 1
accidentally 2
activities 1
actuality 1
admits 1
adventure 1
aforementioned 1
after 2
again 1
aggressive 1
alive 2
all 5
almost 4
aloft 2
along 1
alquix 1
also 1
although 1
amassing 1
amazing 1
amberfuce 2
an 6
ancient 2
and 38
anyway 1
are 8
armies 3
as 9
assassination 1
assassins 1
at 1
atop 1
attack 1
avianhumanoid 1
awaiting 1
awakens 1
baby 1
back 4
barkwater 1
battered 1
battle 1
be 3
became 1
become 1
been 7
before 1
begins 1
begun 1
behind 1
being 5
believe 2
believed 1
betray 1
betrayed 2
beyond 1
bidding 2
bizarre 1
blaming 1
both 1
bought 1
brainwash 1
brainwashed 1
brother 1
bruised 1
build 2
burlix 1
but 6
butler 2
by 16
called 1
can 1
cannot 2
cap 1
capable 1
capture 1
captured 2
caught 1
character 1
chased 1
climactic 1
climbs 1
cogwheel 1
conductor 2
cook 1
could 2
couldnt 1
cowlquape 5
craft 1
crashed 1
create 1
creatures 4
cunning 1
days 1
dead 2
deadbolt 1
deaths 1
deepwoods 1
demonic 1
demons 2
derelict 1
despairs 1
despite 1
destroyed 1
destroys 1
devoured 1
did 1
discuss 1
disobeyed 1
disrespecting 1
distract 1
does 1
doublecross 1
drought 1
duty 3
eager 1
earth 1
eaten 1
edge 4
electrical 2
eleven 2
emerging 1
ends 1
enemies 1
energy 1
engage 1
escape 1
evacuate 3
ever 1
everything 1
evil 6
executioner 1
extremely 1
farewell 2
feeding 1
felix 3
fervently 1
fights 1
filatine 2
filled 1
find 1
fireball 1
first 1
flood 1
fly 1
for 6
forgive 1
formed 1
fortunately 1
free 1
friend 1
friends 1
from 8
gang 1
general 1
generating 1
get 1
gets 1
ghosts 2
ghostwaif 1
gigantic 1
gilda 1
given 1
glades 1
gnokgoblin 1
go 1
goblin 7
goblins 4
greater 1
greatest 1
grounds 1
guardian 1
guardians 7
guards 2
had 1
happens 2
has 10
have 5
having 1
he 24
held 2
helped 1
her 3
hesteria 2
hideout 1
high 2
him 8
himself 3
his 12
holding 1
hopelessly 1
however 2
human 1
hurtling 1
identity 1
if 1
in 18
inhabitants 1
instead 1
intended 1
interrogation 1
interrogator 1
into 2
is 15
it 1
its 1
journeys 1
just 1
keeps 1
kill 4
killed 1
kills 2
knights 1
leader 2
leave 5
librarian 2
librarians 10
life 2
lodd 1
long 1
longer 1
looking 1
magda 3
many 1
massive 2
masters 1
meaning 1
meanwhile 2
meet 2
meets 2
midnight 2
mind 1
mission 1
mixing 1
mocking 1
more 1
morning 2
most 2
mother 1
much 1
named 4
nesting 1
new 2
next 1
night 10
no 1
nobody 1
not 2
noting 1
novel 1
number 1
numbers 1
numerous 1
obese 1
of 25
off 4
old 2
on 4
one 4
only 2
orbix 2
other 1
ought 1
palace 4
paranoid 1
part 1
patrol 2
penetration 1
pentaphraxis 1
phraxdust 2
place 4
plan 1
pleased 1
pm 1
possessed 1
potioneer 1
power 1
predatorial 1
pretend 1
prevented 1
preventing 1
prisoner 1
prisoners 1
professor 1
punishment 1
pursued 1
rafts 1
realize 1
realizes 3
rebels 1
regenerate 1
released 1
releases 1
remained 1
remains 1
repents 1
reported 1
rescued 1
resists 1
respects 1
retreated 1
returning 1
rock 2
rook 18
rubble 1
rubbleghoul 1
rumour 1
runs 1
sacrifices 1
sanctaphrax 1
save 1
saves 3
saying 1
screetown 6
see 2
seeking 1
seem 1
seems 1
seen 1
send 1
sends 1
sent 2
set 3
severe 1
sewers 8
she 3
ships 1
shryke 3
shrykes 3
side 1
sighings 1
since 2
sinister 1
skycraft 1
slavesale 1
so 3
soon 2
speegspeel 4
spike 3
spikesap 1
spirit 1
statues 4
still 1
storm 10
stormhornet 1
strange 2
strike 1
strikes 1
struck 1
substance 1
such 2
survive 1
suspicious 1
sweat 1
sweltering 1
swoop 1
system 1
taken 4
takes 1
taking 1
tasks 1
taunts 1
teams 1
tell 1
tells 3
than 2
that 7
the 84
their 2
them 1
themselves 1
then 3
there 2
these 1
they 4
this 1
those 1
through 2
thrown 1
thus 1
time 4
titular 1
to 38
told 1
too 2
torture 1
tower 2
tried 1
two 4
tytugg 1
undertown 4
unless 1
until 1
up 1
usual 1
varis 1
venvax 3
verlix 1
very 2
volatile 1
vox 10
waif 2
want 1
war 1
warns 1
was 4
wasteland 1
waters 1
way 1
ways 1
weather 1
went 1
what 1
when 4
which 9
who 5
whom 2
why 1
will 4
with 10
work 1
wrong 1
xanth 4
xaxis 2
young 2
