27314715
/m/0bmbm52
/m/0bmbm52
James Patterson
2011-02-14
10 1
15 1
17 1
360 1
54and 1
77 2
a 42
able 4
about 7
accelerated 1
action 1
advanced 1
after 4
again 4
aim 1
aka 1
all 8
almost 1
along 1
also 4
although 1
an 3
and 59
angel 12
another 3
appetite 1
are 13
arm 1
around 3
as 6
asleep 1
assumed 1
at 12
attack 1
attacks 1
away 1
back 5
balloons 1
be 9
because 6
becoming 1
been 4
before 2
begin 1
begins 2
behind 2
being 2
believed 1
beside 1
better 2
between 2
black 1
blink 1
blond 1
blue 1
body 2
bombs 1
bones 1
book 1
both 1
boy 1
bred 1
breed 1
brief 1
busy 1
but 11
by 8
c4 1
california 1
calling 1
calls 2
calms 1
camp 1
campfire 1
can 1
cant 1
capture 1
captured 2
care 1
carry 1
case 1
catch 1
catches 2
catholic 1
caught 1
cave 1
change 1
chant 1
character 1
cheek 1
cheez 1
children 1
chose 1
civilizations 1
closer 1
coincidentally 1
cold 2
come 1
comfortable 1
coming 1
computer 1
conclusion 1
confusion 1
connected 1
constellations 1
continues 1
control 2
convention 3
conversation 2
convinces 1
crater 1
cross 1
cut 1
dead 1
death 1
decides 2
degree 1
depression 1
despite 1
detonate 1
didnt 1
die 2
diego 1
differences 1
disagreement 1
disappeared 1
disappears 1
discovers 1
display 1
do 2
does 1
dont 1
doomsday 6
down 1
dr 9
dubbed 1
due 1
during 1
dylan 16
each 2
early 1
ears 1
earth 1
easier 1
easily 1
easy 1
ella 5
emerging 1
emotionally 1
encounter 2
end 1
ends 1
enhanced 2
enough 1
epilogue 1
erasers 1
etc 1
event 1
eventually 1
everyone 4
everything 1
exceeding 1
explodes 1
eye 2
eyes 4
face 3
faces 1
fall 1
falling 1
falls 1
familiar 1
family 1
fang 23
feelings 3
felt 1
fight 4
find 4
finding 1
finds 4
firework 1
first 3
fit 1
fits 1
flee 1
floating 1
flock 9
flocks 1
fly 3
flying 2
for 9
forming 1
found 1
free 1
friend 1
from 5
gang 7
gazzy 5
gen 2
gen77 2
generation 3
germany 1
get 6
getting 2
giving 1
glossy 1
go 5
good 1
great 1
ground 1
group 12
groups 1
grownup 1
guntherhagan 1
guntherhagen 3
guy 1
had 2
hair 2
half 1
hamburgers 1
hanging 1
hans 2
happy 1
harder 1
has 9
have 12
having 1
he 13
head 1
headed 1
headphones 1
headquarters 2
heal 1
heatproof 1
help 1
helpful 1
hence 1
her 21
herself 2
him 10
his 14
hit 1
holden 1
home 3
hopes 1
hotel 1
hours 1
house 1
how 2
human 1
humans 2
hummingbird 1
hypnotic 1
i 2
iggy 6
ii 1
images 1
in 22
indeed 1
infiltrating 1
informed 1
inside 1
into 1
involved 1
is 39
isnt 1
it 6
its 1
jeb 7
jet 1
joined 1
kate 3
kicked 1
kids 6
kill 3
king 1
kiss 1
kisses 1
knees 1
land 2
lands 1
last 1
leader 2
leaders 1
learned 1
learning 1
leave 1
leaves 1
leaving 1
left 2
lets 1
life 1
like 2
limbs 1
line 1
listen 1
little 1
look 2
looking 2
looks 1
lose 1
love 2
low 1
lusts 1
mad 2
mainly 1
make 2
manifest 1
martinez 3
massive 1
max 33
maya 7
meal 1
meant 1
meanwhile 1
meet 3
member 4
members 1
middle 1
mike 1
mild 1
mind 1
minor 1
missing 1
mom 1
more 5
mother 3
motivate 1
mouse 1
must 1
mutants 1
need 1
needs 2
never 1
new 2
normal 2
not 2
note 1
notice 1
notices 2
notifies 1
now 1
nudge 3
of 23
off 2
okay 1
old 1
on 3
one 1
opposites 1
or 2
other 2
others 2
otherwise 1
out 9
overwhelmed 1
own 1
pace 1
pact 1
paris 3
part 2
past 1
peacemaker 1
people 1
perfect 2
physical 1
plane 4
planetjust 1
planning 1
plans 1
plummets 1
population 1
power 2
powers 2
prepared 1
presumably 1
presumed 1
private 1
problems 1
proceed 2
prompting 1
proven 1
puts 1
queen 1
question 1
quickly 1
race 1
rail 1
rally 1
ratchet 4
rather 2
razor 1
reality 1
reason 1
recently 1
recruited 1
regenerate 1
relationship 1
relatively 1
release 1
reluctantly 1
rescue 1
rest 2
restaurant 1
reveals 1
revert 1
rip 1
runs 1
safe 1
said 2
san 1
save 2
saving 1
saw 1
saying 2
says 3
school 4
sciency 1
searching 1
second 1
see 2
seeing 1
seem 1
seems 3
senses 1
serve 1
she 16
shoot 1
should 1
shoulder 1
shower 1
shown 1
similar 1
since 2
singing 1
size 1
smile 1
snipers 1
so 2
softer 1
solve 1
some 2
song 1
soon 3
soundblocking 1
speaks 1
speeches 1
speed 1
spell 2
spent 1
spirals 1
squibb 1
stabilize 1
star 5
starfish 2
start 1
stay 1
staying 1
stop 2
strapped 1
strength 1
struggle 1
sudden 1
suffering 1
sunglasses 1
super 2
supermodel 1
support 1
surprises 1
sweet 1
take 2
takes 2
talk 2
talking 3
teenage 1
teenagers 1
tell 2
tells 4
ten 1
texas 1
than 2
that 27
the 82
their 3
them 11
then 4
there 1
thermal 1
they 34
thick 1
thin 1
thinks 2
this 3
thought 1
threatens 1
three 1
throughout 1
throw 2
throwing 1
to 65
too 2
total 2
toxins 1
trace 1
transparent 1
trap 1
treating 1
tree 1
tries 1
trust 1
try 3
two 2
under 2
until 2
up 1
use 1
various 1
very 1
vision 2
visit 1
vulnerable 1
wants 2
warn 1
warnings 1
was 2
way 2
ways 1
weak 1
wear 1
week 1
weight 1
well 3
were 2
what 2
when 6
where 7
which 4
while 3
whitecoats 1
whiz 1
who 5
will 6
wings 2
wire 2
wise 1
with 16
without 4
wont 1
world 1
worry 1
would 4
wouldnt 1
wounds 1
wrecks 1
year 1
years 1
you 2
young 1
